function,label,delta_rad,coupling_value
NewSIN,1-sin based,-3.141592653589793,
NewSIN,1-sin based,-3.1328660073298216,-0.9912734645016262
NewSIN,1-sin based,-3.12413936106985,-0.9825475935627168
NewSIN,1-sin based,-3.115412714809878,-0.9738230516921268
NewSIN,1-sin based,-3.1066860685499065,-0.9651005032974991
NewSIN,1-sin based,-3.097959422289935,-0.9563806126346641
NewSIN,1-sin based,-3.0892327760299634,-0.9476640437570565
NewSIN,1-sin based,-3.0805061297699914,-0.9389514604651431
NewSIN,1-sin based,-3.07177948351002,-0.9302435262558747
NewSIN,1-sin based,-3.0630528372500483,-0.9215409042721552
NewSIN,1-sin based,-3.0543261909900767,-0.9128442572523421
NewSIN,1-sin based,-3.045599544730105,-0.9041542474797764
NewSIN,1-sin based,-3.036872898470133,-0.8954715367323465
NewSIN,1-sin based,-3.0281462522101616,-0.8867967862320933
NewSIN,1-sin based,-3.01941960595019,-0.8781306565948527
NewSIN,1-sin based,-3.0106929596902186,-0.8694738077799486
NewSIN,1-sin based,-3.0019663134302466,-0.8608268990399345
NewSIN,1-sin based,-2.993239667170275,-0.8521905888703893
NewSIN,1-sin based,-2.9845130209103035,-0.8435655349597693
NewSIN,1-sin based,-2.975786374650332,-0.8349523941393225
NewSIN,1-sin based,-2.9670597283903604,-0.8263518223330699
NewSIN,1-sin based,-2.9583330821303884,-0.8177644745078525
NewSIN,1-sin based,-2.949606435870417,-0.8091910046234553
NewSIN,1-sin based,-2.9408797896104453,-0.800632065582803
NewSIN,1-sin based,-2.9321531433504737,-0.7920883091822409
NewSIN,1-sin based,-2.9234264970905017,-0.783560386061897
NewSIN,1-sin based,-2.91469985083053,-0.775048945656135
NewSIN,1-sin based,-2.9059732045705586,-0.7665546361440947
NewSIN,1-sin based,-2.897246558310587,-0.7580781044003325
NewSIN,1-sin based,-2.888519912050615,-0.7496199959455585
NewSIN,1-sin based,-2.8797932657906435,-0.7411809548974793
NewSIN,1-sin based,-2.871066619530672,-0.7327616239217432
NewSIN,1-sin based,-2.8623399732707004,-0.724362644183001
NewSIN,1-sin based,-2.853613327010729,-0.7159846552960776
NewSIN,1-sin based,-2.844886680750757,-0.7076282952772632
NewSIN,1-sin based,-2.8361600344907854,-0.699294200495727
NewSIN,1-sin based,-2.827433388230814,-0.6909830056250528
NewSIN,1-sin based,-2.8187067419708423,-0.6826953435949081
NewSIN,1-sin based,-2.8099800957108707,-0.6744318455428436
NewSIN,1-sin based,-2.8012534494508987,-0.666193140766229
NewSIN,1-sin based,-2.792526803190927,-0.6579798566743313
NewSIN,1-sin based,-2.7838001569309556,-0.6497926187405327
NewSIN,1-sin based,-2.775073510670984,-0.6416320504547
NewSIN,1-sin based,-2.766346864411012,-0.6334987732757027
NewSIN,1-sin based,-2.7576202181510405,-0.625393406584088
NewSIN,1-sin based,-2.748893571891069,-0.6173165676349104
NewSIN,1-sin based,-2.7401669256310974,-0.6092688715107264
NewSIN,1-sin based,-2.7314402793711254,-0.6012509310747537
NewSIN,1-sin based,-2.722713633111154,-0.5932633569241998
NewSIN,1-sin based,-2.7139869868511823,-0.585306757343761
NewSIN,1-sin based,-2.705260340591211,-0.5773817382593007
NewSIN,1-sin based,-2.6965336943312392,-0.5694889031917052
NewSIN,1-sin based,-2.6878070480712672,-0.5616288532109226
NewSIN,1-sin based,-2.6790804018112957,-0.5538021868901912
NewSIN,1-sin based,-2.670353755551324,-0.5460095002604534
NewSIN,1-sin based,-2.6616271092913526,-0.5382513867649663
NewSIN,1-sin based,-2.652900463031381,-0.5305284372141095
NewSIN,1-sin based,-2.644173816771409,-0.5228412397403917
NewSIN,1-sin based,-2.6354471705114375,-0.515190379753663
NewSIN,1-sin based,-2.626720524251466,-0.507576439896533
NewSIN,1-sin based,-2.6179938779914944,-0.5000000000000002
NewSIN,1-sin based,-2.609267231731523,-0.49246163703929613
NewSIN,1-sin based,-2.600540585471551,-0.48496192508994584
NewSIN,1-sin based,-2.5918139392115793,-0.4775014352840513
NewSIN,1-sin based,-2.5830872929516078,-0.4700807357667952
NewSIN,1-sin based,-2.574360646691636,-0.4627003916531761
NewSIN,1-sin based,-2.5656340004316642,-0.4553609649849729
NewSIN,1-sin based,-2.5569073541716927,-0.44806301468794185
NewSIN,1-sin based,-2.548180707911721,-0.4408070965292533
NewSIN,1-sin based,-2.5394540616517496,-0.4335937630751674
NewSIN,1-sin based,-2.5307274153917776,-0.42642356364895384
