function,label,k,overall_per_mean,residual_median,residual_3min_median
LINEAR,frog chorus based,1.0,4.269511111111111,0.0389878868018989,0.0821557856127752
LINEAR,frog chorus based,2.0,2.712822222222222,0.0219620919864286,0.0765222887710779
LINEAR,frog chorus based,3.0,1.9540444444444447,0.0142884348278048,0.0711568291488798
LINEAR,frog chorus based,4.0,1.485911111111111,0.0128090912189966,0.0659823448877444
LINEAR,frog chorus based,5.0,1.2020666666666666,0.0137036325472703,0.0617259233762278
LINEAR,frog chorus based,6.0,1.018288888888889,0.0147300869257993,0.0580577963402744
LINEAR,frog chorus based,7.0,0.8841777777777781,0.0159776906237672,0.0548139634406456
LINEAR,frog chorus based,8.0,0.7921555555555556,0.0170198297514131,0.0521047734280451
LINEAR,frog chorus based,9.0,0.7417555555555561,0.0180177147871788,0.0498567026398087
LINEAR,frog chorus based,10.0,0.7156,0.0189925535946108,0.0476465582374012
LINEAR,frog chorus based,11.0,0.7296000000000001,0.0199385961964565,0.045699267838828
LINEAR,frog chorus based,12.0,0.7677333333333336,0.0204039914215895,0.0437794550123898
LINEAR,frog chorus based,13.0,0.7700444444444448,0.0213802559926009,0.0420733958976122
LINEAR,frog chorus based,14.0,0.8127555555555556,0.0222839328111741,0.0408249197645059
LINEAR,frog chorus based,15.0,0.7903111111111116,0.0232365059881466,0.0394556720485328
LINEAR,frog chorus based,16.0,0.8100222222222223,0.0235327153468858,0.0383758791229895
LINEAR,frog chorus based,17.0,0.8858444444444447,0.0241238042071746,0.0373294937056889
LINEAR,frog chorus based,18.0,0.8918444444444448,0.0245276891586591,0.0365751537960052
LINEAR,frog chorus based,19.0,0.9830000000000002,0.0251932236021771,0.0358234969956895
LINEAR,frog chorus based,20.0,0.9834444444444448,0.0259384885313494,0.0351726644099547
LINEAR,frog chorus based,21.0,1.0427777777777778,0.0257897036440674,0.034894872937385
LINEAR,frog chorus based,22.0,1.095577777777778,0.0267311743889646,0.0346007854567476
LINEAR,frog chorus based,23.0,1.1753777777777776,0.0272249704759441,0.0343824551850118
