function,label,k,overall_per_mean,residual_median,residual_3min_median
KURAMOTO,Kuramoto based,1.0,10.924599999999998,0.0820649291584692,0.0871862816683466
KURAMOTO,Kuramoto based,11.0,7.006777777777778,0.0434480482338751,0.0831655778061853
KURAMOTO,Kuramoto based,21.0,5.722177777777778,0.025895585163704,0.0795098502328495
KURAMOTO,Kuramoto based,31.0,4.901133333333333,0.0172578882003557,0.0760168936680703
KURAMOTO,Kuramoto based,41.0,4.349288888888889,0.0128680716816921,0.0725011973760984
KURAMOTO,Kuramoto based,51.0,3.8673777777777776,0.0115283142068392,0.0692888189741147
KURAMOTO,Kuramoto based,61.0,3.4480666666666666,0.010725391009476,0.0663775067478782
KURAMOTO,Kuramoto based,71.0,3.034666666666667,0.0105307240631197,0.0632693864337721
KURAMOTO,Kuramoto based,81.0,2.5639111111111115,0.0102544674887421,0.0604163660956102
KURAMOTO,Kuramoto based,91.0,2.2182888888888894,0.0103498828757472,0.0573373703167973
KURAMOTO,Kuramoto based,101.0,1.8749333333333331,0.0104523492791596,0.0551010637679801
KURAMOTO,Kuramoto based,111.0,1.6029777777777778,0.0104222766755888,0.0529478626729223
KURAMOTO,Kuramoto based,121.0,1.3980444444444442,0.0106950962255083,0.0508335249075141
KURAMOTO,Kuramoto based,131.0,1.2407555555555552,0.0109963173350267,0.0489360706569416
KURAMOTO,Kuramoto based,141.0,1.0951111111111114,0.011317675385252,0.0476293841136887
KURAMOTO,Kuramoto based,151.0,0.985577777777778,0.0118517479162329,0.0463301229314415
KURAMOTO,Kuramoto based,161.0,0.8808666666666666,0.0122165409278527,0.044747310694474
KURAMOTO,Kuramoto based,171.0,0.8145333333333336,0.0126018346301722,0.0435278417908277
KURAMOTO,Kuramoto based,181.0,0.7497999999999999,0.0131100758923702,0.0422066093782417
KURAMOTO,Kuramoto based,191.0,0.6846444444444447,0.0137619879754539,0.0411580758495108
KURAMOTO,Kuramoto based,201.0,0.6329111111111113,0.014168560880729,0.0402513654896965
KURAMOTO,Kuramoto based,211.0,0.5843111111111112,0.0148422782562795,0.0395138389143145
KURAMOTO,Kuramoto based,221.0,0.5409777777777781,0.015350865043054,0.0388866727638296
KURAMOTO,Kuramoto based,231.0,0.5054000000000001,0.0158548509359909,0.0385020676039346
KURAMOTO,Kuramoto based,241.0,0.4735777777777781,0.016454065036267,0.0383684955723362
KURAMOTO,Kuramoto based,251.0,0.4443777777777781,0.0171012903328528,0.0377140664239136
KURAMOTO,Kuramoto based,261.0,0.4187777777777781,0.0176538713524527,0.0374296688036398
KURAMOTO,Kuramoto based,271.0,0.3951111111111114,0.0182189338250931,0.0373740780385888
KURAMOTO,Kuramoto based,281.0,0.3789555555555559,0.018911956203801,0.0373691096742423
KURAMOTO,Kuramoto based,291.0,0.3629111111111113,0.0194360882357544,0.0369364276857147
KURAMOTO,Kuramoto based,301.0,0.3415111111111112,0.0200964973762211,0.0370084428281401
KURAMOTO,Kuramoto based,311.0,0.327888888888889,0.0205596284770478,0.037140946457151
KURAMOTO,Kuramoto based,321.0,0.3138888888888891,0.0212050929547121,0.0371609824338933
KURAMOTO,Kuramoto based,331.0,0.2976888888888892,0.0217697021641402,0.0374925589505013
KURAMOTO,Kuramoto based,341.0,0.286488888888889,0.022261355757164,0.0372797589415334
KURAMOTO,Kuramoto based,351.0,0.275,0.0228298425684266,0.0370897821255032
KURAMOTO,Kuramoto based,361.0,0.2680666666666667,0.0232589172068165,0.0376097027634481
KURAMOTO,Kuramoto based,371.0,0.2564888888888891,0.0240790666129405,0.0377474803508153
KURAMOTO,Kuramoto based,381.0,0.2476888888888889,0.0245366845188788,0.0379532937453468
KURAMOTO,Kuramoto based,391.0,0.2389111111111112,0.0251526560887221,0.0381939827526934
KURAMOTO,Kuramoto based,401.0,0.2303555555555557,0.0256596177251602,0.0385726653895394
KURAMOTO,Kuramoto based,411.0,0.2226444444444449,0.0261234548320273,0.0388823714115803
KURAMOTO,Kuramoto based,421.0,0.217088888888889,0.0267677847186782,0.0389041095783633
KURAMOTO,Kuramoto based,431.0,0.2116000000000001,0.0274487639670572,0.0391170911302088
KURAMOTO,Kuramoto based,441.0,0.2044444444444445,0.0279803680124185,0.0394514576525029
KURAMOTO,Kuramoto based,451.0,0.1999111111111112,0.028411068459816,0.0400215105931176
KURAMOTO,Kuramoto based,461.0,0.1957777777777778,0.0290115556485902,0.0401384547354134
KURAMOTO,Kuramoto based,471.0,0.1925777777777778,0.0297727832851,0.0404349897596407
KURAMOTO,Kuramoto based,481.0,0.1881555555555556,0.0302350269910189,0.04077392155397
KURAMOTO,Kuramoto based,491.0,0.1861111111111111,0.0307645493420733,0.0412973151779068
KURAMOTO,Kuramoto based,501.0,0.1836444444444445,0.0313396690660108,0.0416270082750571
KURAMOTO,Kuramoto based,511.0,0.1800888888888889,0.031901949673156,0.0417967314830032
KURAMOTO,Kuramoto based,521.0,0.1792222222222222,0.0325699508248348,0.04235303421663
