function,label,residual_column,time_point_min,k,residual_phase_spacing_error,n_runs
KURAMOTO,Kuramoto based,residual_median,30,1.0,0.0820649291584692,499
KURAMOTO,Kuramoto based,residual_median,30,11.0,0.0434480482338751,500
KURAMOTO,Kuramoto based,residual_median,30,21.0,0.025895585163704,500
KURAMOTO,Kuramoto based,residual_median,30,31.0,0.0172578882003557,500
KURAMOTO,Kuramoto based,residual_median,30,41.0,0.0128680716816921,498
KURAMOTO,Kuramoto based,residual_median,30,51.0,0.0115283142068392,499
KURAMOTO,Kuramoto based,residual_median,30,61.0,0.010725391009476,499
KURAMOTO,Kuramoto based,residual_median,30,71.0,0.0105307240631197,500
KURAMOTO,Kuramoto based,residual_median,30,81.0,0.0102544674887421,500
KURAMOTO,Kuramoto based,residual_median,30,91.0,0.0103498828757472,500
KURAMOTO,Kuramoto based,residual_median,30,101.0,0.0104523492791596,500
KURAMOTO,Kuramoto based,residual_median,30,111.0,0.0104222766755888,500
KURAMOTO,Kuramoto based,residual_median,30,121.0,0.0106950962255083,500
KURAMOTO,Kuramoto based,residual_median,30,131.0,0.0109963173350267,500
KURAMOTO,Kuramoto based,residual_median,30,141.0,0.011317675385252,500
KURAMOTO,Kuramoto based,residual_median,30,151.0,0.0118517479162329,500
KURAMOTO,Kuramoto based,residual_median,30,161.0,0.0122165409278527,500
KURAMOTO,Kuramoto based,residual_median,30,171.0,0.0126018346301722,500
KURAMOTO,Kuramoto based,residual_median,30,181.0,0.0131100758923702,500
KURAMOTO,Kuramoto based,residual_median,30,191.0,0.0137619879754539,500
KURAMOTO,Kuramoto based,residual_median,30,201.0,0.014168560880729,500
KURAMOTO,Kuramoto based,residual_median,30,211.0,0.0148422782562795,500
KURAMOTO,Kuramoto based,residual_median,30,221.0,0.015350865043054,500
KURAMOTO,Kuramoto based,residual_median,30,231.0,0.0158548509359909,500
KURAMOTO,Kuramoto based,residual_median,30,241.0,0.016454065036267,500
KURAMOTO,Kuramoto based,residual_median,30,251.0,0.0171012903328528,500
KURAMOTO,Kuramoto based,residual_median,30,261.0,0.0176538713524527,500
KURAMOTO,Kuramoto based,residual_median,30,271.0,0.0182189338250931,500
KURAMOTO,Kuramoto based,residual_median,30,281.0,0.018911956203801,500
KURAMOTO,Kuramoto based,residual_median,30,291.0,0.0194360882357544,500
KURAMOTO,Kuramoto based,residual_median,30,301.0,0.0200964973762211,500
KURAMOTO,Kuramoto based,residual_median,30,311.0,0.0205596284770478,500
KURAMOTO,Kuramoto based,residual_median,30,321.0,0.0212050929547121,500
KURAMOTO,Kuramoto based,residual_median,30,331.0,0.0217697021641402,500
KURAMOTO,Kuramoto based,residual_median,30,341.0,0.022261355757164,500
KURAMOTO,Kuramoto based,residual_median,30,351.0,0.0228298425684266,500
KURAMOTO,Kuramoto based,residual_median,30,361.0,0.0232589172068165,500
KURAMOTO,Kuramoto based,residual_median,30,371.0,0.0240790666129405,500
KURAMOTO,Kuramoto based,residual_median,30,381.0,0.0245366845188788,500
KURAMOTO,Kuramoto based,residual_median,30,391.0,0.0251526560887221,500
KURAMOTO,Kuramoto based,residual_median,30,401.0,0.0256596177251602,500
KURAMOTO,Kuramoto based,residual_median,30,411.0,0.0261234548320273,500
KURAMOTO,Kuramoto based,residual_median,30,421.0,0.0267677847186782,500
KURAMOTO,Kuramoto based,residual_median,30,431.0,0.0274487639670572,500
KURAMOTO,Kuramoto based,residual_median,30,441.0,0.0279803680124185,500
KURAMOTO,Kuramoto based,residual_median,30,451.0,0.028411068459816,500
KURAMOTO,Kuramoto based,residual_median,30,461.0,0.0290115556485902,500
KURAMOTO,Kuramoto based,residual_median,30,471.0,0.0297727832851,500
KURAMOTO,Kuramoto based,residual_median,30,481.0,0.0302350269910189,500
KURAMOTO,Kuramoto based,residual_median,30,491.0,0.0307645493420733,500
KURAMOTO,Kuramoto based,residual_median,30,501.0,0.0313396690660108,500
KURAMOTO,Kuramoto based,residual_median,30,511.0,0.031901949673156,500
KURAMOTO,Kuramoto based,residual_median,30,521.0,0.0325699508248348,500
KURAMOTO,Kuramoto based,residual_median,30,531.0,0.0331624070976808,500
KURAMOTO,Kuramoto based,residual_median,30,541.0,0.0336634634615575,500
KURAMOTO,Kuramoto based,residual_median,30,551.0,0.0343164990739445,500
KURAMOTO,Kuramoto based,residual_median,30,561.0,0.0348612337886332,500
KURAMOTO,Kuramoto based,residual_median,30,571.0,0.0353630491848425,500
KURAMOTO,Kuramoto based,residual_median,30,581.0,0.0361460376349496,500
KURAMOTO,Kuramoto based,residual_median,30,591.0,0.0368102478613988,500
KURAMOTO,Kuramoto based,residual_median,30,601.0,0.0372498948732173,500
KURAMOTO,Kuramoto based,residual_median,30,611.0,0.0379369521605051,500
KURAMOTO,Kuramoto based,residual_median,30,621.0,0.0385104633747558,500
KURAMOTO,Kuramoto based,residual_median,30,631.0,0.0391316558346196,500
KURAMOTO,Kuramoto based,residual_median,30,641.0,0.0398774464830329,500
KURAMOTO,Kuramoto based,residual_median,30,651.0,0.0403292133511052,500
KURAMOTO,Kuramoto based,residual_median,30,661.0,0.0410461388911207,500
KURAMOTO,Kuramoto based,residual_median,30,671.0,0.0417979702064298,500
KURAMOTO,Kuramoto based,residual_median,30,681.0,0.0422571359270052,500
KURAMOTO,Kuramoto based,residual_median,30,691.0,0.0430345803619127,500
KURAMOTO,Kuramoto based,residual_median,30,701.0,0.0435861312337313,500
KURAMOTO,Kuramoto based,residual_median,30,711.0,0.0441359030425098,500
KURAMOTO,Kuramoto based,residual_median,30,721.0,0.0446336756366006,500
KURAMOTO,Kuramoto based,residual_median,30,731.0,0.0453365282692299,500
KURAMOTO,Kuramoto based,residual_median,30,741.0,0.0458516472140712,500
KURAMOTO,Kuramoto based,residual_median,30,751.0,0.0464631734323292,500
KURAMOTO,Kuramoto based,residual_median,30,761.0,0.0470564732170031,500
KURAMOTO,Kuramoto based,residual_median,30,771.0,0.0474738778893993,500
KURAMOTO,Kuramoto based,residual_median,30,781.0,0.0479551513542194,500
KURAMOTO,Kuramoto based,residual_median,30,791.0,0.0484556829021133,500
KURAMOTO,Kuramoto based,residual_median,30,801.0,0.0487712424967986,500
KURAMOTO,Kuramoto based,residual_median,30,811.0,0.0494129606917588,500
KURAMOTO,Kuramoto based,residual_median,30,821.0,0.0498182727812553,500
KURAMOTO,Kuramoto based,residual_median,30,831.0,0.0502865388055508,500
KURAMOTO,Kuramoto based,residual_median,30,841.0,0.0506296551258777,500
KURAMOTO,Kuramoto based,residual_median,30,851.0,0.0509662587107371,500
KURAMOTO,Kuramoto based,residual_median,30,861.0,0.0515205139084212,500
KURAMOTO,Kuramoto based,residual_median,30,871.0,0.0516994086830194,500
KURAMOTO,Kuramoto based,residual_median,30,881.0,0.0523255738378163,500
KURAMOTO,Kuramoto based,residual_median,30,891.0,0.052602070782702,500
KURAMOTO,Kuramoto based,residual_median,30,901.0,0.0531360509690975,500
KURAMOTO,Kuramoto based,residual_median,30,911.0,0.0536847510886408,500
KURAMOTO,Kuramoto based,residual_median,30,921.0,0.0539846658628913,500
KURAMOTO,Kuramoto based,residual_median,30,931.0,0.0542784942121263,500
KURAMOTO,Kuramoto based,residual_median,30,941.0,0.0548180222090965,500
KURAMOTO,Kuramoto based,residual_median,30,951.0,0.0550088076294876,500
KURAMOTO,Kuramoto based,residual_median,30,961.0,0.05547412708803,500
KURAMOTO,Kuramoto based,residual_median,30,971.0,0.055710074202,500
KURAMOTO,Kuramoto based,residual_median,30,981.0,0.0562671829372235,500
KURAMOTO,Kuramoto based,residual_median,30,991.0,0.056634845035529,500
KURAMOTO,Kuramoto based,residual_median,30,1001.0,0.0569277404228267,500
