coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,mean_convergence_cycle_median,mean_convergence_rate_percent,max_convergence_cycle_median,max_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,simultaneous_collision_count_total
KURAMOTO,5,1.0,50,0.0,10.0,86.0,1.0,94.0,1.0,42.0,0.67009584982982,1.2914958331136352,0
KURAMOTO,5,2.0,50,0.0,10.0,88.0,1.0,98.0,1.0,46.0,0.6358794022892502,1.2625806203746355,0
KURAMOTO,5,5.0,50,0.0,10.0,94.0,1.0,98.0,1.0,54.0,0.5607878264952417,1.2062975543529066,0
KURAMOTO,5,10.0,50,0.0,10.0,96.0,1.0,100.0,1.0,57.99999999999999,0.5382025457206819,1.1500257066459003,0
KURAMOTO,5,20.0,50,0.0,10.0,96.0,1.0,100.0,1.0,64.0,0.5303023182604429,1.0736019682839755,0
KURAMOTO,5,50.0,50,0.0,10.0,100.0,1.0,100.0,1.0,64.0,0.5209658481965442,1.0549901292171482,0
KURAMOTO,5,100.0,50,0.0,10.0,100.0,1.0,100.0,1.0,64.0,0.5102306502514876,1.0563588758325557,0
KURAMOTO,5,200.0,50,0.0,10.0,100.0,1.0,100.0,1.0,64.0,0.47826281402022397,1.0103361973944778,0
KURAMOTO,5,500.0,50,0.0,10.0,100.0,1.0,100.0,2.0,86.0,0.38997813653616087,0.9249950438529715,0
KURAMOTO,5,1000.0,50,0.0,10.0,100.0,1.0,100.0,2.0,96.0,0.3189500068884622,0.6502743319858689,0
KURAMOTO,5,2000.0,50,0.0,10.0,100.0,1.0,100.0,3.0,98.0,0.26953761554383165,0.48818735426524373,0
KURAMOTO,10,1.0,50,0.5277777777777778,10.0,72.0,1.0,98.0,8.0,12.0,0.35675973559571694,0.9522305495447735,0
KURAMOTO,10,2.0,50,0.2777777777777778,10.0,76.0,1.0,98.0,66.5,24.0,0.3355612474247277,0.8794657227422622,0
KURAMOTO,10,5.0,50,0.1111111111111111,10.0,86.0,1.0,100.0,64.5,40.0,0.27959100699066347,0.6702093217259246,0
KURAMOTO,10,10.0,50,0.05555555555555555,10.0,94.0,1.0,100.0,73.0,68.0,0.16394601977493128,0.4332373912064408,0
KURAMOTO,10,20.0,50,0.0,10.0,96.0,1.0,100.0,49.5,92.0,0.013763852902369124,0.07662512145949171,0
KURAMOTO,10,50.0,50,0.0,10.0,100.0,1.0,100.0,21.5,100.0,0.02096080244453867,0.09012000783007443,0
KURAMOTO,10,100.0,50,0.0,10.0,100.0,1.0,100.0,12.0,100.0,0.03543126170846812,0.12004005481762522,0
KURAMOTO,10,200.0,50,0.0,10.0,100.0,1.0,100.0,8.0,100.0,0.06401691513964594,0.18074418419774668,0
KURAMOTO,10,500.0,50,0.0,10.0,100.0,1.0,100.0,6.0,100.0,0.14529706073034898,0.3537195397661619,0
KURAMOTO,10,1000.0,50,1.6944444444444446,12.5,100.0,1.0,100.0,121.0,16.0,0.274573153122573,0.6281177284802144,0
KURAMOTO,10,2000.0,50,2.361111111111111,17.0,100.0,1.0,100.0,,0.0,0.3551821281263754,0.8760742840436755,0
KURAMOTO,20,1.0,50,5.0,16.0,20.0,1.0,100.0,,0.0,0.2091940947901028,0.7068728269832185,720
KURAMOTO,20,2.0,50,5.0,31.5,28.000000000000004,1.0,100.0,,0.0,0.19248677580595888,0.6387534747132924,720
KURAMOTO,20,5.0,50,5.0,28.0,34.0,1.0,100.0,121.0,14.000000000000002,0.15914526497818587,0.46178841108025204,720
KURAMOTO,20,10.0,50,5.0,33.0,48.0,1.0,100.0,120.5,52.0,0.11076941297096787,0.3023748162850307,720
KURAMOTO,20,20.0,50,4.027777777777778,36.0,60.0,1.0,100.0,79.0,90.0,0.0520356277416618,0.14070179660834153,720
KURAMOTO,20,50.0,50,1.3611111111111112,34.0,78.0,1.0,100.0,34.5,96.0,0.010946142803984756,0.05220867430521568,720
KURAMOTO,20,100.0,50,0.5833333333333334,24.5,96.0,1.0,100.0,19.5,96.0,0.017773756615727925,0.06770194941566404,720
KURAMOTO,20,200.0,50,0.2222222222222222,15.0,96.0,1.0,100.0,12.0,96.0,0.033058760530979905,0.10678546196934954,720
KURAMOTO,20,500.0,50,0.05555555555555555,10.0,96.0,1.0,100.0,22.0,96.0,0.07639774087750406,0.2215524606802842,720
KURAMOTO,20,1000.0,50,3.4722222222222223,98.0,57.99999999999999,1.0,100.0,,0.0,0.14069796486904967,0.39678190244774697,720
KURAMOTO,20,2000.0,50,5.236111111111111,180.0,38.0,1.0,100.0,,0.0,0.18427349307661128,0.6403959446481985,658
KURAMOTO,50,1.0,50,19.31111111111111,,0.0,1.0,90.0,,0.0,0.07877362262917267,0.39446931380634476,2160
KURAMOTO,50,2.0,50,17.52777777777778,,0.0,1.0,96.0,,0.0,0.07341361448260822,0.3597425036903213,2160
KURAMOTO,50,5.0,50,15.055555555555555,,0.0,1.0,100.0,,0.0,0.057658660866174063,0.28719464982295495,2450
KURAMOTO,50,10.0,50,13.744444444444444,,0.0,1.0,100.0,122.0,10.0,0.04125082700498832,0.1710119702669995,2642
