coupling_function,device_count,k,run_index,run_id,selected_start_times,cycle_count,expected_packets,actual_packets,successful_packets,simultaneous_collision_count,overall_per_percent,ttu_cycle,ttu_reached,mean_convergence_cycle,mean_converged,max_convergence_cycle,max_converged,final_10_cycle_new_mean_abs_dev,final_10_cycle_new_max_abs_dev,epsilon_tolerance_rad,carrier_sense_duration_ms,airtime_ms,occupied_time_ms
KURAMOTO,5,1,0,019f655a-9b03-73ca-b3dd-c72705022768_0000,3412;83;2446;3018;1586,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.5671937978900164,0.7858960528227745,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,1,019f655a-9b04-765f-b790-3132bec9e9bb_0001,4882;2702;329;1903;981,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.5675452534500044,1.418863133625011,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,2,019f655a-9b05-7cc4-882c-458709590b68_0002,1226;655;4054;1351;2748,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.645392846691212,1.1005802256236183,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,3,019f655a-9b06-7100-a62d-13418010a0be_0003,1106;4349;1910;2705;4651,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.5164454571954089,0.7872021813527199,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,4,019f655a-9b07-7c15-a02e-e5f95711f3a8_0004,1708;2458;2582;3180;618,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.7372067086532132,1.7299194361038008,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,5,019f655a-9b08-7c00-8070-47fce4d4ff51_0005,1241;4820;4355;2665;4817,180,900,720,720,0,20.0,,False,1.0,True,1.0,True,0.6029088854573973,0.8025672291543696,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,6,019f655a-9b09-74ac-a88c-1e32fbaa8a7b_0006,3139;4818;4450;1979;3863,180,900,900,900,0,0.0,10.0,True,1.0,True,,False,0.6424414047609435,1.4050415820726108,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,7,019f655a-9b0a-718e-aefa-7ba7708319a0_0007,2488;3478;4638;1020;1402,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.2760041477370578,0.7003300078321527,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,8,019f655a-9b0b-70d2-bf5d-28fda81e1f9b_0008,4607;2293;4112;2313;4400,180,900,720,720,0,20.0,,False,,False,,False,1.2244573833170345,2.087319179554261,1.224537524338598,5.0,20.544,25.544
KURAMOTO,5,1,9,019f655a-9b0c-7998-9bb4-acbedf1dc4f5_0009,4651;2446;4484;1083;4086,180,900,900,900,0,0.0,10.0,True,1.0,True,1.0,True,0.6895477167792571,0.9958825550802619,1.224537524338598,5.0,20.544,25.544
