function_slug,coupling_function,coupling_strength,initial_condition,run_number,run_id,cycle_index,cycle_start_ms,device_id,reference_device_id,reference_event_time_ms,reference_event_type,device_event_time_ms,device_event_type,time_diff_ms,phase_diff_rad,has_reference_event,has_device_event
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,0,0,1250.0,sent,1250.0,sent,0.0,0.0,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,1,0,1250.0,sent,1250.0,sent,0.0,0.0,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,2,0,1250.0,sent,1250.0,sent,0.0,0.0,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,3,0,1250.0,sent,1250.0,sent,0.0,0.0,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,4,0,1250.0,sent,1250.0,sent,0.0,0.0,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,5,0,1250.0,sent,1250.0,sent,0.0,0.0,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,6,0,1250.0,sent,1250.0,sent,0.0,0.0,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,7,0,1250.0,sent,1250.0,sent,0.0,0.0,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,8,0,1250.0,sent,1250.0,sent,0.0,0.0,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,9,0,1250.0,sent,1250.0,sent,0.0,0.0,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,10,0,1250.0,sent,1250.0,sent,0.0,0.0,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,11,0,1250.0,sent,1250.0,sent,0.0,0.0,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,12,0,1250.0,sent,1250.0,sent,0.0,0.0,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,13,0,1250.0,sent,3750.0,sent,2500.0,1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,14,0,1250.0,sent,3750.0,sent,2500.0,1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,15,0,1250.0,sent,3750.0,sent,2500.0,1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,16,0,1250.0,sent,3750.0,sent,2500.0,1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,17,0,1250.0,sent,3750.0,sent,2500.0,1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,18,0,1250.0,sent,3750.0,sent,2500.0,1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,19,0,1250.0,sent,3750.0,sent,2500.0,1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,20,0,1250.0,sent,3750.0,sent,2500.0,1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,21,0,1250.0,sent,3750.0,sent,2500.0,1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,22,0,1250.0,sent,3750.0,sent,2500.0,1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,23,0,1250.0,sent,3750.0,sent,2500.0,1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,24,0,1250.0,sent,3750.0,sent,2500.0,1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,25,0,1250.0,sent,3750.0,sent,2500.0,1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,26,0,1250.0,sent,6250.0,sent,-5000.0,-3.141592653589793,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,27,0,1250.0,sent,6250.0,sent,-5000.0,-3.141592653589793,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,28,0,1250.0,sent,6250.0,sent,-5000.0,-3.141592653589793,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,29,0,1250.0,sent,6250.0,sent,-5000.0,-3.141592653589793,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,30,0,1250.0,sent,6250.0,sent,-5000.0,-3.141592653589793,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,31,0,1250.0,sent,6250.0,sent,-5000.0,-3.141592653589793,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,32,0,1250.0,sent,6250.0,sent,-5000.0,-3.141592653589793,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,33,0,1250.0,sent,6250.0,sent,-5000.0,-3.141592653589793,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,34,0,1250.0,sent,6250.0,sent,-5000.0,-3.141592653589793,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,35,0,1250.0,sent,6250.0,sent,-5000.0,-3.141592653589793,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,36,0,1250.0,sent,6250.0,sent,-5000.0,-3.141592653589793,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,37,0,1250.0,sent,6250.0,sent,-5000.0,-3.141592653589793,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,38,0,1250.0,sent,8750.0,sent,-2500.0,-1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,39,0,1250.0,sent,8750.0,sent,-2500.0,-1.5707963267948966,True,True
linear,LINEAR,10,four_clusters,3,019f4d2c-e228-7cf8-80e1-d743853a5002_0002,1,0,40,0,1250.0,sent,8750.0,sent,-2500.0,-1.5707963267948966,True,True
