coupling_function,k,device_count,cycle_time,listening_rate,duration,format,run_count,readable_run_count,total_data_size_bytes,oldest_created_at,newest_created_at
KURAMOTO,1,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1001,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,101,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1011,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1021,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1031,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1041,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1051,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1061,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1071,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1081,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1091,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,11,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1101,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,111,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1111,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1121,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1131,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1141,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1151,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1161,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1171,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1181,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1191,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1201,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,121,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1211,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
KURAMOTO,1221,50,10000,25,1800000,current_graph_manifest,1000,0,656508047,2026-07-06T10:06:33+00:00,2026-07-10T05:22:39+00:00
