coupling_function,k,run_id,device_count,simulation_length_cycles,expected_send_log_rows,measured_send_log_rows,difference,has_cycle_cache,pipeline_test_run_id,pipeline_test_passed,pipeline_test_detail
KURAMOTO,1,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,50,180,9000,8820,-180,yes,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,yes,"cycle_rows=180, phase_rows=180"
KURAMOTO,1,019f36e4-d518-74df-a268-0446582be15f_0000,50,180,9000,8091,-909,yes,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,yes,"cycle_rows=180, phase_rows=180"
KURAMOTO,1,019f36e4-d610-710f-a4b8-9fad8b49f033_0000,50,180,9000,7207,-1793,yes,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,yes,"cycle_rows=180, phase_rows=180"
KURAMOTO,371,019f380f-9312-7f5b-86fc-532eaeb78595_0000,50,180,9000,8995,-5,yes,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,yes,"cycle_rows=180, phase_rows=180"
KURAMOTO,371,019f380f-99c5-7684-bcaf-cdfc8fe0d607_0000,50,180,9000,8988,-12,yes,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,yes,"cycle_rows=180, phase_rows=180"
KURAMOTO,371,019f380f-9fdb-7a02-9704-3b2d6d350b38_0000,50,180,9000,8938,-62,yes,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,yes,"cycle_rows=180, phase_rows=180"
KURAMOTO,741,019f392a-bf08-7f05-8d97-1e97e37c19e2_0000,50,180,9000,8949,-51,yes,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,yes,"cycle_rows=180, phase_rows=180"
KURAMOTO,741,019f392a-c1e2-7d56-81a2-91c405396821_0000,50,180,9000,8944,-56,yes,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,yes,"cycle_rows=180, phase_rows=180"
KURAMOTO,741,019f392a-c4ce-7ff8-9e7c-c466aeb247f8_0000,50,180,9000,8916,-84,yes,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,yes,"cycle_rows=180, phase_rows=180"
KURAMOTO,1121,019f3a13-27ea-7cad-a6d3-0fd147940ebe_0000,50,180,9000,8417,-583,yes,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,yes,"cycle_rows=180, phase_rows=180"
KURAMOTO,1121,019f3a13-2bbd-7766-b88b-8f9eb2d86970_0000,50,180,9000,8398,-602,yes,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,yes,"cycle_rows=180, phase_rows=180"
KURAMOTO,1121,019f3a13-2fbb-7ee0-a50b-555843d9805e_0000,50,180,9000,8357,-643,yes,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,yes,"cycle_rows=180, phase_rows=180"
KURAMOTO,1491,019f3aee-faa8-77aa-9c15-d0722a8aa8af_0000,50,180,9000,8349,-651,yes,019f36e4-d3d2-7d95-98df-abaf076c0bfa_0000,yes,"cycle_rows=180, phase_rows=180"
