coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total
KURAMOTO,5,1.0,50,0.0,10.0,96.0,,38.0,1.0,100.0,1.0,96.0,0.7392121797329675,1.4423236389388912,0.2219103799877179,0
KURAMOTO,5,2.0,50,0.0,10.0,96.0,,40.0,1.0,100.0,1.0,96.0,0.7223198910163495,1.403328473897437,0.27567590551230303,0
KURAMOTO,5,3.0,50,0.0,10.0,96.0,,42.0,1.0,100.0,1.0,96.0,0.703084675932625,1.3711414417099896,0.3419669556160595,0
KURAMOTO,5,5.0,50,0.0,10.0,96.0,,46.0,1.0,100.0,1.0,96.0,0.6560448996738883,1.2820812039815035,0.5129457235970579,0
KURAMOTO,5,7.0,50,0.0,10.0,96.0,,50.0,1.0,100.0,1.0,96.0,0.5896190011088649,1.2112666878347689,0.7376686192653064,0
KURAMOTO,5,10.0,50,0.0,10.0,96.0,116.5,56.00000000000001,1.0,100.0,1.0,98.0,0.554705418532256,1.1712011228983399,0.8118381021995023,0
KURAMOTO,5,15.0,50,0.0,10.0,96.0,78.0,57.99999999999999,1.0,100.0,1.0,100.0,0.5517256677836881,1.149250273021528,0.8120904345967335,0
KURAMOTO,5,20.0,50,0.0,10.0,98.0,59.0,57.99999999999999,1.0,100.0,1.0,100.0,0.5501649115421634,1.1484414577504718,0.8130810737033338,0
KURAMOTO,5,30.0,50,0.0,10.0,98.0,40.0,60.0,1.0,100.0,1.0,100.0,0.5345780381680629,1.1284600811694534,0.8145942982358081,0
KURAMOTO,5,50.0,50,0.0,10.0,100.0,24.5,60.0,1.0,100.0,1.0,100.0,0.530208702607035,1.1284600811694534,0.8153289339335128,0
KURAMOTO,5,70.0,50,0.0,10.0,100.0,18.0,62.0,1.0,100.0,1.0,100.0,0.5239614821112184,1.1284600811694534,0.8184472038248595,0
KURAMOTO,5,100.0,50,0.0,10.0,100.0,13.5,60.0,1.0,100.0,1.0,100.0,0.506946003029894,1.1253166666861212,0.8242774277040483,0
KURAMOTO,5,150.0,50,0.0,10.0,100.0,9.5,64.0,1.0,100.0,1.0,100.0,0.4994920020788607,1.11107545011139,0.8306679309228029,0
KURAMOTO,5,200.0,50,0.0,10.0,100.0,7.5,62.0,1.0,100.0,1.0,100.0,0.4907258626263689,1.1149474322353614,0.8316042258601959,0
KURAMOTO,5,300.0,50,0.0,10.0,100.0,5.0,72.0,1.0,100.0,1.0,100.0,0.4497602486310278,1.062332509058389,0.8387569935670207,0
KURAMOTO,5,500.0,50,0.0,10.0,100.0,3.5,78.0,1.0,100.0,1.0,100.0,0.4067857934349222,0.9649339456305495,0.8538994394049424,0
KURAMOTO,5,700.0,50,0.0,10.0,100.0,3.0,96.0,1.0,100.0,1.0,100.0,0.36020502069657406,0.848748041101744,0.8851492679129609,0
KURAMOTO,5,1000.0,50,0.0,10.0,100.0,2.5,96.0,1.0,100.0,1.0,100.0,0.32279976131771315,0.5951132612442138,0.8529784485206857,0
KURAMOTO,5,1500.0,50,0.0,10.0,100.0,2.0,100.0,1.0,100.0,1.0,100.0,0.2840467685393513,0.5069470311542372,0.8787255486116887,0
KURAMOTO,5,2000.0,50,0.0,10.0,100.0,2.0,100.0,1.0,100.0,1.0,100.0,0.2636660086090161,0.5564246067749845,0.9141681032586019,0
KURAMOTO,10,1.0,50,0.0,10.0,68.0,,8.0,1.0,100.0,1.0,94.0,0.429093711299557,1.1798584997564894,0.06257393028592667,0
KURAMOTO,10,2.0,50,0.0,10.0,72.0,,8.0,1.0,100.0,1.0,96.0,0.4166423778251299,1.1222463506761104,0.07499669452108226,0
KURAMOTO,10,3.0,50,0.0,10.0,72.0,,12.0,1.0,100.0,1.0,98.0,0.3883833757872217,1.073682358905791,0.08969595075777015,0
KURAMOTO,10,5.0,50,0.0,10.0,76.0,,20.0,1.0,100.0,1.0,98.0,0.33389293649823615,0.9819693077372633,0.13850972673320538,0
KURAMOTO,10,7.0,50,0.0,10.0,78.0,,38.0,1.0,100.0,1.0,100.0,0.2871024967772591,0.8551603179076113,0.1777128699227527,0
KURAMOTO,10,10.0,50,0.0,10.0,78.0,,48.0,1.0,100.0,1.0,100.0,0.23276211986007206,0.654928214234286,0.2862940848379051,0
KURAMOTO,10,15.0,50,0.0,10.0,78.0,120.5,68.0,1.0,100.0,1.0,100.0,0.14321173457483144,0.32050922460382203,0.4539510163372156,0
KURAMOTO,10,20.0,50,0.0,10.0,86.0,91.5,88.0,1.0,100.0,1.0,100.0,0.06895742795307405,0.14625357859050822,0.5830895732143336,0
KURAMOTO,10,30.0,50,0.0,10.0,96.0,59.5,100.0,1.0,100.0,1.0,100.0,0.0172770526513433,0.08148603453925285,0.6088803051569904,0
KURAMOTO,10,50.0,50,0.0,10.0,100.0,37.5,100.0,1.0,100.0,1.0,100.0,0.02184807674662309,0.0918380955485803,0.5967501322413421,0
KURAMOTO,10,70.0,50,0.0,10.0,100.0,27.5,100.0,1.0,100.0,1.0,100.0,0.02749436965080547,0.10568689008028355,0.584943371948524,0
KURAMOTO,10,100.0,50,0.0,10.0,100.0,20.5,100.0,1.0,100.0,1.0,100.0,0.037369944105203765,0.12532915793190533,0.5672472578393785,0
KURAMOTO,10,150.0,50,0.0,10.0,100.0,14.0,100.0,1.0,100.0,1.0,100.0,0.05301709504621058,0.15980046681852877,0.5370684167407301,0
KURAMOTO,10,200.0,50,0.0,10.0,100.0,12.0,100.0,1.0,100.0,1.0,100.0,0.06711327427681157,0.19090366673839176,0.5081308703343257,0
KURAMOTO,10,300.0,50,0.0,10.0,100.0,11.0,100.0,1.0,100.0,1.0,100.0,0.09348462371540053,0.2470298105876928,0.45718693471890864,0
KURAMOTO,10,500.0,50,0.0,10.0,100.0,7.0,100.0,1.0,100.0,1.0,100.0,0.15073989932131268,0.3734483521407631,0.3617485728910116,0
KURAMOTO,10,700.0,50,0.0,10.0,100.0,18.0,98.0,1.0,100.0,1.0,100.0,0.20039915986279552,0.47853449623160377,0.2640588702377955,0
KURAMOTO,10,1000.0,50,1.6666666666666667,10.0,100.0,,14.000000000000002,1.0,100.0,1.0,100.0,0.2781330929406552,0.6479831015352661,0.14194557631446109,0
KURAMOTO,10,1500.0,50,2.3333333333333335,15.5,100.0,,0.0,1.0,100.0,1.0,100.0,0.3174790135997859,0.7472622327122883,0.1230122851033015,0
KURAMOTO,10,2000.0,50,2.4444444444444446,22.5,100.0,,0.0,1.0,100.0,1.0,100.0,0.3448913722131227,0.8524226381432434,0.1291452961389921,0
KURAMOTO,20,1.0,50,8.13888888888889,10.0,16.0,,0.0,1.0,100.0,1.0,98.0,0.20851803312571338,0.7406691302931163,0.04067576895133129,0
KURAMOTO,20,2.0,50,6.583333333333333,16.5,20.0,,2.0,1.0,100.0,1.0,100.0,0.19737497079146502,0.6556320357813421,0.0463718276491516,0
KURAMOTO,20,3.0,50,6.069444444444445,22.5,24.0,,6.0,1.0,100.0,1.0,100.0,0.1870298837012475,0.5658633945824465,0.052126127834430935,0
KURAMOTO,20,5.0,50,5.5,45.5,32.0,,14.000000000000002,1.0,100.0,1.0,100.0,0.16857088715510302,0.434869782421309,0.06559384728845336,0
KURAMOTO,20,7.0,50,5.319444444444445,48.5,36.0,,22.0,1.0,100.0,1.0,100.0,0.15366704049742355,0.35955352162734855,0.08273918699893956,0
KURAMOTO,20,10.0,50,5.069444444444445,47.5,40.0,169.0,54.0,1.0,100.0,1.0,100.0,0.12431959826511957,0.29866961936614944,0.11778524378415053,0
KURAMOTO,20,15.0,50,5.013888888888889,44.0,54.0,112.5,84.0,1.0,100.0,1.0,100.0,0.10125947708765962,0.24027059755550104,0.16392859033865687,0
KURAMOTO,20,20.0,50,4.361111111111111,39.5,56.00000000000001,86.5,98.0,1.0,100.0,1.0,100.0,0.06866724608827808,0.1988322277712935,0.20944630452891833,0
KURAMOTO,20,30.0,50,2.888888888888889,37.0,62.0,58.0,100.0,1.0,100.0,1.0,100.0,0.021144946634689583,0.08549222815033228,0.2924598412290502,0
KURAMOTO,20,50.0,50,1.625,43.0,82.0,37.0,100.0,1.0,100.0,1.0,100.0,0.012103152407019285,0.05651521891323805,0.2937980397978752,0
KURAMOTO,20,70.0,50,1.0277777777777777,40.0,98.0,28.0,100.0,1.0,100.0,1.0,100.0,0.014440634676166162,0.06213918857543041,0.2864429567426611,0
