function,label,delta_rad,coupling_value
LINEAR_4,modified frog chorus based,-3.141592653589793,
LINEAR_4,modified frog chorus based,-3.1328660073298216,0.9888888888888889
LINEAR_4,modified frog chorus based,-3.12413936106985,0.9777777777777779
LINEAR_4,modified frog chorus based,-3.115412714809878,0.9666666666666663
LINEAR_4,modified frog chorus based,-3.1066860685499065,0.9555555555555557
LINEAR_4,modified frog chorus based,-3.097959422289935,0.9444444444444446
LINEAR_4,modified frog chorus based,-3.0892327760299634,0.9333333333333336
LINEAR_4,modified frog chorus based,-3.0805061297699914,0.922222222222222
LINEAR_4,modified frog chorus based,-3.07177948351002,0.911111111111111
LINEAR_4,modified frog chorus based,-3.0630528372500483,0.8999999999999999
LINEAR_4,modified frog chorus based,-3.0543261909900767,0.8888888888888888
LINEAR_4,modified frog chorus based,-3.045599544730105,0.8777777777777782
LINEAR_4,modified frog chorus based,-3.036872898470133,0.8666666666666667
LINEAR_4,modified frog chorus based,-3.0281462522101616,0.8555555555555556
LINEAR_4,modified frog chorus based,-3.01941960595019,0.8444444444444446
LINEAR_4,modified frog chorus based,-3.0106929596902186,0.8333333333333335
LINEAR_4,modified frog chorus based,-3.0019663134302466,0.822222222222222
LINEAR_4,modified frog chorus based,-2.993239667170275,0.8111111111111109
LINEAR_4,modified frog chorus based,-2.9845130209103035,0.7999999999999998
LINEAR_4,modified frog chorus based,-2.975786374650332,0.7888888888888892
LINEAR_4,modified frog chorus based,-2.9670597283903604,0.7777777777777781
LINEAR_4,modified frog chorus based,-2.9583330821303884,0.7666666666666666
LINEAR_4,modified frog chorus based,-2.949606435870417,0.7555555555555555
LINEAR_4,modified frog chorus based,-2.9408797896104453,0.7444444444444445
LINEAR_4,modified frog chorus based,-2.9321531433504737,0.7333333333333334
LINEAR_4,modified frog chorus based,-2.9234264970905017,0.7222222222222219
LINEAR_4,modified frog chorus based,-2.91469985083053,0.7111111111111108
LINEAR_4,modified frog chorus based,-2.9059732045705586,0.7000000000000002
LINEAR_4,modified frog chorus based,-2.897246558310587,0.6888888888888891
LINEAR_4,modified frog chorus based,-2.888519912050615,0.6777777777777776
LINEAR_4,modified frog chorus based,-2.8797932657906435,0.6666666666666665
LINEAR_4,modified frog chorus based,-2.871066619530672,0.6555555555555554
LINEAR_4,modified frog chorus based,-2.8623399732707004,0.6444444444444444
LINEAR_4,modified frog chorus based,-2.853613327010729,0.6333333333333333
LINEAR_4,modified frog chorus based,-2.844886680750757,0.6222222222222218
LINEAR_4,modified frog chorus based,-2.8361600344907854,0.6111111111111112
LINEAR_4,modified frog chorus based,-2.827433388230814,0.6000000000000001
LINEAR_4,modified frog chorus based,-2.8187067419708423,0.588888888888889
LINEAR_4,modified frog chorus based,-2.8099800957108707,0.577777777777778
LINEAR_4,modified frog chorus based,-2.8012534494508987,0.5666666666666664
LINEAR_4,modified frog chorus based,-2.792526803190927,0.5555555555555554
LINEAR_4,modified frog chorus based,-2.7838001569309556,0.5444444444444443
LINEAR_4,modified frog chorus based,-2.775073510670984,0.5333333333333337
LINEAR_4,modified frog chorus based,-2.766346864411012,0.5222222222222221
LINEAR_4,modified frog chorus based,-2.7576202181510405,0.5111111111111111
LINEAR_4,modified frog chorus based,-2.748893571891069,0.5
LINEAR_4,modified frog chorus based,-2.7401669256310974,0.48888888888888893
LINEAR_4,modified frog chorus based,-2.7314402793711254,0.4777777777777774
LINEAR_4,modified frog chorus based,-2.722713633111154,0.46666666666666634
LINEAR_4,modified frog chorus based,-2.7139869868511823,0.4555555555555557
LINEAR_4,modified frog chorus based,-2.705260340591211,0.44444444444444464
LINEAR_4,modified frog chorus based,-2.6965336943312392,0.43333333333333357
LINEAR_4,modified frog chorus based,-2.6878070480712672,0.42222222222222205
LINEAR_4,modified frog chorus based,-2.6790804018112957,0.411111111111111
LINEAR_4,modified frog chorus based,-2.670353755551324,0.3999999999999999
LINEAR_4,modified frog chorus based,-2.6616271092913526,0.38888888888888884
LINEAR_4,modified frog chorus based,-2.652900463031381,0.3777777777777782
LINEAR_4,modified frog chorus based,-2.644173816771409,0.3666666666666667
LINEAR_4,modified frog chorus based,-2.6354471705114375,0.3555555555555556
LINEAR_4,modified frog chorus based,-2.626720524251466,0.34444444444444455
LINEAR_4,modified frog chorus based,-2.6179938779914944,0.3333333333333335
LINEAR_4,modified frog chorus based,-2.609267231731523,0.3222222222222224
LINEAR_4,modified frog chorus based,-2.600540585471551,0.3111111111111109
LINEAR_4,modified frog chorus based,-2.5918139392115793,0.2999999999999998
LINEAR_4,modified frog chorus based,-2.5830872929516078,0.2888888888888892
LINEAR_4,modified frog chorus based,-2.574360646691636,0.2777777777777777
LINEAR_4,modified frog chorus based,-2.5656340004316642,0.2666666666666666
LINEAR_4,modified frog chorus based,-2.5569073541716927,0.25555555555555554
LINEAR_4,modified frog chorus based,-2.548180707911721,0.24444444444444446
LINEAR_4,modified frog chorus based,-2.5394540616517496,0.2333333333333334
LINEAR_4,modified frog chorus based,-2.5307274153917776,0.22222222222222188
LINEAR_4,modified frog chorus based,-2.522000769131806,0.2111111111111108
LINEAR_4,modified frog chorus based,-2.5132741228718345,0.20000000000000018
LINEAR_4,modified frog chorus based,-2.504547476611863,0.1888888888888891
LINEAR_4,modified frog chorus based,-2.4958208303518914,0.17777777777777803
LINEAR_4,modified frog chorus based,-2.4870941840919194,0.16666666666666652
LINEAR_4,modified frog chorus based,-2.478367537831948,0.15555555555555545
LINEAR_4,modified frog chorus based,-2.4696408915719763,0.14444444444444438
LINEAR_4,modified frog chorus based,-2.4609142453120048,0.1333333333333333
LINEAR_4,modified frog chorus based,-2.452187599052033,0.12222222222222268
LINEAR_4,modified frog chorus based,-2.443460952792061,0.11111111111111116
LINEAR_4,modified frog chorus based,-2.4347343065320897,0.10000000000000009
LINEAR_4,modified frog chorus based,-2.426007660272118,0.08888888888888902
LINEAR_4,modified frog chorus based,-2.417281014012146,0.0777777777777775
LINEAR_4,modified frog chorus based,-2.4085543677521746,0.06666666666666643
LINEAR_4,modified frog chorus based,-2.399827721492203,0.05555555555555536
LINEAR_4,modified frog chorus based,-2.3911010752322315,0.04444444444444429
LINEAR_4,modified frog chorus based,-2.38237442897226,0.03333333333333366
LINEAR_4,modified frog chorus based,-2.373647782712288,0.022222222222222143
LINEAR_4,modified frog chorus based,-2.3649211364523164,0.011111111111111072
