condition,function,label,cycle_index,device_id,phase_diff_rad,phase_diff_mod_rad
uniform_1ms,KURAMOTO,Kuramoto based,1,0,0.0,0.0
uniform_1ms,KURAMOTO,Kuramoto based,1,1,0.0006283185307179,0.0006283185307179
uniform_1ms,KURAMOTO,Kuramoto based,1,2,0.0012566370614359,0.0012566370614359
uniform_1ms,KURAMOTO,Kuramoto based,1,3,0.0018849555921538,0.0018849555921538
uniform_1ms,KURAMOTO,Kuramoto based,1,4,0.0025132741228718,0.0025132741228718
uniform_1ms,KURAMOTO,Kuramoto based,1,5,0.0031415926535897,0.0031415926535897
uniform_1ms,KURAMOTO,Kuramoto based,1,6,0.0037699111843077,0.0037699111843077
uniform_1ms,KURAMOTO,Kuramoto based,1,7,0.0043982297150257,0.0043982297150257
uniform_1ms,KURAMOTO,Kuramoto based,1,8,0.0050265482457436,0.0050265482457436
uniform_1ms,KURAMOTO,Kuramoto based,1,9,0.0056548667764616,0.0056548667764616
uniform_1ms,KURAMOTO,Kuramoto based,1,10,0.0062831853071795,0.0062831853071795
uniform_1ms,KURAMOTO,Kuramoto based,1,11,0.0069115038378975,0.0069115038378975
uniform_1ms,KURAMOTO,Kuramoto based,1,12,0.0075398223686155,0.0075398223686155
uniform_1ms,KURAMOTO,Kuramoto based,1,13,0.0081681408993334,0.0081681408993334
uniform_1ms,KURAMOTO,Kuramoto based,1,14,0.0087964594300514,0.0087964594300514
uniform_1ms,KURAMOTO,Kuramoto based,1,15,0.0094247779607693,0.0094247779607693
uniform_1ms,KURAMOTO,Kuramoto based,1,16,0.0100530964914873,0.0100530964914873
uniform_1ms,KURAMOTO,Kuramoto based,1,17,0.0106814150222052,0.0106814150222052
uniform_1ms,KURAMOTO,Kuramoto based,1,18,0.0113097335529232,0.0113097335529232
uniform_1ms,KURAMOTO,Kuramoto based,1,19,0.0119380520836412,0.0119380520836412
uniform_1ms,KURAMOTO,Kuramoto based,1,20,0.0125663706143591,0.0125663706143591
uniform_1ms,KURAMOTO,Kuramoto based,1,21,0.0131946891450771,0.0131946891450771
uniform_1ms,KURAMOTO,Kuramoto based,1,22,0.013823007675795,0.013823007675795
uniform_1ms,KURAMOTO,Kuramoto based,1,23,0.014451326206513,0.014451326206513
uniform_1ms,KURAMOTO,Kuramoto based,1,24,0.015079644737231,0.015079644737231
uniform_1ms,KURAMOTO,Kuramoto based,1,25,0.0157079632679489,0.0157079632679489
uniform_1ms,KURAMOTO,Kuramoto based,1,26,0.0163362817986669,0.0163362817986669
uniform_1ms,KURAMOTO,Kuramoto based,1,27,0.0169646003293848,0.0169646003293848
uniform_1ms,KURAMOTO,Kuramoto based,1,28,0.0175929188601028,0.0175929188601028
uniform_1ms,KURAMOTO,Kuramoto based,1,29,0.0182212373908208,0.0182212373908208
uniform_1ms,KURAMOTO,Kuramoto based,1,30,0.0188495559215387,0.0188495559215387
uniform_1ms,KURAMOTO,Kuramoto based,1,31,0.0194778744522567,0.0194778744522567
uniform_1ms,KURAMOTO,Kuramoto based,1,32,0.0201061929829746,0.0201061929829746
uniform_1ms,KURAMOTO,Kuramoto based,1,33,0.0207345115136926,0.0207345115136926
uniform_1ms,KURAMOTO,Kuramoto based,1,34,0.0213628300444105,0.0213628300444105
uniform_1ms,KURAMOTO,Kuramoto based,1,35,0.0219911485751285,0.0219911485751285
uniform_1ms,KURAMOTO,Kuramoto based,1,36,0.0226194671058465,0.0226194671058465
uniform_1ms,KURAMOTO,Kuramoto based,1,37,0.0232477856365644,0.0232477856365644
uniform_1ms,KURAMOTO,Kuramoto based,1,38,0.0238761041672824,0.0238761041672824
uniform_1ms,KURAMOTO,Kuramoto based,1,39,0.0245044226980003,0.0245044226980003
uniform_1ms,KURAMOTO,Kuramoto based,1,40,0.0251327412287183,0.0251327412287183
uniform_1ms,KURAMOTO,Kuramoto based,1,41,0.0257610597594363,0.0257610597594363
uniform_1ms,KURAMOTO,Kuramoto based,1,42,0.0263893782901542,0.0263893782901542
uniform_1ms,KURAMOTO,Kuramoto based,1,43,0.0270176968208722,0.0270176968208722
uniform_1ms,KURAMOTO,Kuramoto based,1,44,0.0276460153515901,0.0276460153515901
uniform_1ms,KURAMOTO,Kuramoto based,1,45,0.0282743338823081,0.0282743338823081
uniform_1ms,KURAMOTO,Kuramoto based,1,46,0.028902652413026,0.028902652413026
uniform_1ms,KURAMOTO,Kuramoto based,1,47,0.029530970943744,0.029530970943744
uniform_1ms,KURAMOTO,Kuramoto based,1,48,0.030159289474462,0.030159289474462
