function,label,k,overall_per_mean,residual_median,residual_3min_median
NewSIN,1-sin based,1.0,3.641466666666667,0.0398823573094475,0.0824538234941326
NewSIN,1-sin based,2.0,2.020466666666666,0.0230067555655644,0.0769761442434051
NewSIN,1-sin based,3.0,1.3725333333333336,0.0156009678024866,0.0719952900279352
NewSIN,1-sin based,4.0,1.0414666666666663,0.0124750280848567,0.0670021802109969
NewSIN,1-sin based,5.0,0.8514,0.013073171324871,0.0631266421786704
NewSIN,1-sin based,6.0,0.7271555555555553,0.0139947014792852,0.0594409844873292
NewSIN,1-sin based,7.0,0.6322666666666666,0.0150907920477252,0.0559043521176196
NewSIN,1-sin based,8.0,0.5747555555555559,0.0160060545826551,0.0532999559471746
NewSIN,1-sin based,9.0,0.5420888888888893,0.0170514662314835,0.050800500902054
NewSIN,1-sin based,10.0,0.5208888888888893,0.017482216282939,0.0484217982354713
NewSIN,1-sin based,11.0,0.505288888888889,0.018733310988551,0.0466098414790276
NewSIN,1-sin based,12.0,0.5011555555555557,0.0195103880702953,0.0450884496244402
NewSIN,1-sin based,13.0,0.4898444444444447,0.0199856938256431,0.0433051197221334
NewSIN,1-sin based,14.0,0.480066666666667,0.0207324053113188,0.0415828338465181
NewSIN,1-sin based,15.0,0.4749555555555559,0.0215036395893619,0.0403046819772417
NewSIN,1-sin based,16.0,0.4752444444444447,0.0217297844262056,0.03914427686306
NewSIN,1-sin based,17.0,0.4694222222222223,0.0223473410985212,0.038137884028916
NewSIN,1-sin based,18.0,0.4698666666666667,0.022930695997704,0.0370347809860548
NewSIN,1-sin based,19.0,0.4686666666666665,0.0234355770208066,0.036189915115731
NewSIN,1-sin based,20.0,0.4589333333333334,0.0238815433885548,0.0356747885955348
NewSIN,1-sin based,21.0,0.4555111111111109,0.0243776159749798,0.0350809009244848
NewSIN,1-sin based,22.0,0.4616444444444447,0.0245114126153546,0.0343877165678874
NewSIN,1-sin based,23.0,0.4584222222222222,0.0250725435578905,0.0340997165398288
NewSIN,1-sin based,24.0,0.4516666666666667,0.0249710028343179,0.0339920585476058
NewSIN,1-sin based,25.0,0.4522888888888888,0.0254731200718597,0.0336915935792792
NewSIN,1-sin based,26.0,0.4530444444444446,0.0261662068094367,0.0338156792985512
NewSIN,1-sin based,27.0,0.4555333333333337,0.0262475969448609,0.0335485742265327
NewSIN,1-sin based,28.0,0.455888888888889,0.0265473267840798,0.0334576996524863
NewSIN,1-sin based,29.0,0.4607111111111114,0.0269666354611826,0.0334482692750031
NewSIN,1-sin based,30.0,0.4712666666666671,0.0270061404451792,0.0336672765588948
NewSIN,1-sin based,31.0,0.4735111111111115,0.027457072422478,0.0335018518979581
NewSIN,1-sin based,32.0,0.4706000000000002,0.027436471638162,0.0339242599155912
NewSIN,1-sin based,33.0,0.4844444444444446,0.0277564009226536,0.0341286020258152
NewSIN,1-sin based,34.0,0.4959111111111112,0.0281969726374133,0.034302759908633
NewSIN,1-sin based,35.0,0.4918444444444445,0.0284227734286921,0.0345187835162281
NewSIN,1-sin based,36.0,0.4907333333333334,0.0289848035446987,0.0346534531836036
NewSIN,1-sin based,37.0,0.4943777777777779,0.0288222060852423,0.0347248372147382
NewSIN,1-sin based,38.0,0.5182444444444445,0.0294861057860123,0.0351114911563106
NewSIN,1-sin based,39.0,0.5201555555555557,0.0295274717529908,0.035295308936386
NewSIN,1-sin based,40.0,0.5358222222222222,0.0297385599334309,0.0357504155722648
NewSIN,1-sin based,41.0,0.5385111111111112,0.029982943066574,0.0359942495664854
NewSIN,1-sin based,42.0,0.556466666666667,0.0302918571285768,0.0362970015930363
NewSIN,1-sin based,43.0,0.5691333333333336,0.0306501451746931,0.0365121729767325
NewSIN,1-sin based,44.0,0.5840444444444447,0.030937636934375,0.0368536524475189
NewSIN,1-sin based,45.0,0.6025333333333335,0.0310558978096095,0.0370684732826277
NewSIN,1-sin based,46.0,0.6134888888888893,0.0315306712951136,0.0370810111222595
NewSIN,1-sin based,47.0,0.6162000000000005,0.0318150162143631,0.0378055144475196
NewSIN,1-sin based,48.0,0.6289777777777781,0.0319741705473646,0.038047221697885
NewSIN,1-sin based,49.0,0.6466444444444448,0.0322763572270364,0.0383937408484786
NewSIN,1-sin based,50.0,0.6423111111111114,0.0324661374190606,0.0387124313367216
NewSIN,1-sin based,51.0,0.6713111111111114,0.0328449345492485,0.039123006974207
NewSIN,1-sin based,52.0,0.6809555555555558,0.0330562728925497,0.039352652413278
NewSIN,1-sin based,53.0,0.6955555555555559,0.0332759077575567,0.0397098247024996
NewSIN,1-sin based,54.0,0.7128444444444445,0.0335789077487352,0.0400207566512861
NewSIN,1-sin based,55.0,0.7320222222222224,0.0342239005168094,0.0402898204873498
NewSIN,1-sin based,56.0,0.7467111111111112,0.0343488082935856,0.0405645444094502
NewSIN,1-sin based,57.0,0.7687777777777778,0.0347598681175047,0.0413014555257499
NewSIN,1-sin based,58.0,0.776488888888889,0.0351926291628865,0.0415160809287731
NewSIN,1-sin based,59.0,0.7872222222222224,0.0355602342158261,0.0418179719227117
NewSIN,1-sin based,60.0,0.8135777777777777,0.0358941615678624,0.0421345775668399
NewSIN,1-sin based,61.0,0.8259333333333332,0.0362967021949413,0.042433687248926
NewSIN,1-sin based,62.0,0.8289777777777783,0.0367143482524926,0.0427747282052336
NewSIN,1-sin based,63.0,0.8446222222222225,0.0370214906380679,0.0430076435198134
NewSIN,1-sin based,64.0,0.8608000000000002,0.0376069801707644,0.0434432366909722
NewSIN,1-sin based,65.0,0.8636444444444447,0.0381708938905727,0.0438066642293739
NewSIN,1-sin based,66.0,0.9130888888888888,0.0385389428847882,0.0441137946052494
NewSIN,1-sin based,67.0,0.9420222222222224,0.0389987395630137,0.0443423013322189
NewSIN,1-sin based,68.0,0.9364444444444444,0.0395317974193464,0.0445954636525169
NewSIN,1-sin based,69.0,0.9676222222222224,0.0400219342682393,0.0450086188947373
NewSIN,1-sin based,70.0,0.9878444444444446,0.0405854449330936,0.0453478395263727
NewSIN,1-sin based,71.0,0.9960666666666668,0.0410678633653533,0.0457537236177915
NewSIN,1-sin based,72.0,1.0164666666666669,0.0415324697123217,0.046101312793434
NewSIN,1-sin based,73.0,1.032355555555556,0.0420622775303591,0.0462039655995168
NewSIN,1-sin based,74.0,1.0415111111111115,0.0425884337752672,0.0465323127943015
NewSIN,1-sin based,75.0,1.0919777777777782,0.0431457093828706,0.0467631247745421
NewSIN,1-sin based,76.0,1.0866888888888888,0.0437048867777193,0.0470443320340806
NewSIN,1-sin based,77.0,1.0928888888888886,0.0442742554617337,0.047516581389107
NewSIN,1-sin based,78.0,1.1348888888888886,0.0447981268998353,0.0476893228989654
NewSIN,1-sin based,79.0,1.1552888888888888,0.0453628417007132,0.0479993115135679
NewSIN,1-sin based,80.0,1.1930000000000005,0.0459527110345988,0.0483839993777807
NewSIN,1-sin based,81.0,1.224511111111111,0.0465511911330617,0.0486800160917496
NewSIN,1-sin based,82.0,1.235311111111111,0.0471718840335262,0.0492343946017789
NewSIN,1-sin based,83.0,1.254888888888889,0.047689996927906,0.0494895189791012
NewSIN,1-sin based,84.0,1.2796666666666665,0.0482660112226428,0.0498188017115907
NewSIN,1-sin based,85.0,1.3027777777777776,0.0488373394860146,0.0502321185214246
NewSIN,1-sin based,86.0,1.3063333333333331,0.0494082093996754,0.0505594052651725
NewSIN,1-sin based,87.0,1.323088888888889,0.049985151446014,0.0508812488954593
NewSIN,1-sin based,88.0,1.3810222222222224,0.0504893711504953,0.0511705624636354
NewSIN,1-sin based,89.0,1.4127555555555555,0.0512170769560928,0.0515471008042769
NewSIN,1-sin based,90.0,1.4213111111111112,0.0517510751048773,0.0520176614340594
NewSIN,1-sin based,91.0,1.4373111111111112,0.0522864705906525,0.0523712117917416
NewSIN,1-sin based,92.0,1.4649555555555558,0.0529278169730836,0.0526446905832827
NewSIN,1-sin based,93.0,1.4583555555555558,0.0534434152085861,0.053032071878584
NewSIN,1-sin based,94.0,1.4852888888888889,0.0540432669773033,0.0533375322071361
NewSIN,1-sin based,95.0,1.5602222222222224,0.0546989246525285,0.0537727177736471
NewSIN,1-sin based,96.0,1.5758666666666667,0.0552184823540442,0.0541615197266707
NewSIN,1-sin based,97.0,1.5922666666666667,0.0558618643158695,0.0546780354427745
NewSIN,1-sin based,98.0,1.6294000000000002,0.0564075791302399,0.054932637297698
NewSIN,1-sin based,99.0,1.6628444444444443,0.0570211548720497,0.0552566270133909
NewSIN,1-sin based,100.0,1.649222222222222,0.0576325987326162,0.0556338038705371
NewSIN,1-sin based,101.0,1.6897111111111107,0.0582571258112312,0.0561305078643062
NewSIN,1-sin based,102.0,1.7506000000000002,0.0588672126278826,0.0563615083847919
NewSIN,1-sin based,103.0,1.7678666666666665,0.0595109942398734,0.0569322610903392
NewSIN,1-sin based,104.0,1.8022888888888888,0.0601078169806865,0.0573932936266285
NewSIN,1-sin based,105.0,1.7944,0.0607696454581571,0.0578115649973913
NewSIN,1-sin based,106.0,1.821911111111111,0.0613811205361454,0.0583021969944471
