function,label,k,overall_per_mean,residual_median,residual_3min_median
LINEAR_4,modified frog chorus based,1.0,3.4762666666666666,0.0403850076546017,0.0824805989710862
LINEAR_4,modified frog chorus based,2.0,1.9049777777777777,0.0235900153806362,0.0771503761957151
LINEAR_4,modified frog chorus based,3.0,1.3112444444444442,0.0161703888858478,0.0721516799200974
LINEAR_4,modified frog chorus based,4.0,1.0136444444444446,0.0125402784440331,0.0674417103731942
LINEAR_4,modified frog chorus based,5.0,0.8380666666666668,0.0128167023390039,0.0635279522262097
LINEAR_4,modified frog chorus based,6.0,0.7264666666666667,0.0138061867205733,0.0597735023717277
LINEAR_4,modified frog chorus based,7.0,0.6498000000000003,0.0148470596905495,0.0565984244795208
LINEAR_4,modified frog chorus based,8.0,0.6094000000000003,0.0157281065617708,0.0540112202284985
LINEAR_4,modified frog chorus based,9.0,0.588355555555556,0.016650679137341,0.0513788601724918
LINEAR_4,modified frog chorus based,10.0,0.5929777777777777,0.0172655266143106,0.0491549042143645
LINEAR_4,modified frog chorus based,11.0,0.618288888888889,0.0182616318624926,0.0470704720436648
LINEAR_4,modified frog chorus based,12.0,0.6674444444444448,0.0187756268519873,0.0452231922751871
LINEAR_4,modified frog chorus based,13.0,0.7013111111111113,0.0192161840682986,0.0436566981240561
LINEAR_4,modified frog chorus based,14.0,0.7720222222222224,0.0201325643713997,0.0420580210633131
LINEAR_4,modified frog chorus based,15.0,0.6529333333333336,0.0205878429444171,0.0407249236815424
LINEAR_4,modified frog chorus based,16.0,0.6721777777777779,0.0213860735905357,0.0396532400561763
LINEAR_4,modified frog chorus based,17.0,0.758466666666667,0.021689356328202,0.0382896564326822
LINEAR_4,modified frog chorus based,18.0,0.799955555555556,0.021929271306524,0.037523691415017
LINEAR_4,modified frog chorus based,19.0,0.8559777777777778,0.0226745388481738,0.0365739892918904
LINEAR_4,modified frog chorus based,20.0,0.8988222222222223,0.0229408066409917,0.0362060046727471
LINEAR_4,modified frog chorus based,21.0,0.922355555555556,0.0235125632078777,0.0354195909006403
LINEAR_4,modified frog chorus based,22.0,0.9785111111111112,0.0238688937019027,0.0347503789385817
LINEAR_4,modified frog chorus based,23.0,0.9919111111111112,0.0239116951758373,0.034265318771939
LINEAR_4,modified frog chorus based,24.0,1.037022222222222,0.024418663587348,0.0344399060978869
LINEAR_4,modified frog chorus based,25.0,1.091466666666667,0.0245713836187053,0.0339658292611048
LINEAR_4,modified frog chorus based,26.0,1.1865555555555556,0.0252994161200632,0.0337794898362181
LINEAR_4,modified frog chorus based,27.0,1.2094666666666667,0.0257158767155096,0.0338556930301742
LINEAR_4,modified frog chorus based,28.0,1.2091555555555555,0.0258507622234119,0.0333854995722245
LINEAR_4,modified frog chorus based,29.0,1.2427777777777778,0.0258164692517453,0.0332702614155491
LINEAR_4,modified frog chorus based,30.0,1.375644444444445,0.0262415344887762,0.0336079334223715
LINEAR_4,modified frog chorus based,31.0,1.3313111111111116,0.0263881526191138,0.033744035766355
LINEAR_4,modified frog chorus based,32.0,1.3772888888888892,0.0265223779360054,0.0336810672575256
LINEAR_4,modified frog chorus based,33.0,1.356777777777778,0.0270345905154107,0.0340773739841809
LINEAR_4,modified frog chorus based,34.0,1.4615777777777776,0.0269976250719246,0.0342304680347021
LINEAR_4,modified frog chorus based,35.0,1.400088888888889,0.0273921591468619,0.0343532998031088
LINEAR_4,modified frog chorus based,36.0,1.4261555555555558,0.027815415873069,0.0345075449925263
LINEAR_4,modified frog chorus based,37.0,1.5106000000000002,0.0279820599579993,0.0346592786701466
LINEAR_4,modified frog chorus based,38.0,1.534955555555556,0.0282316512694411,0.035007679605765
LINEAR_4,modified frog chorus based,39.0,1.4910666666666663,0.0283100961947385,0.0352646852085371
LINEAR_4,modified frog chorus based,40.0,1.518088888888889,0.0290901659653228,0.0352973098418817
LINEAR_4,modified frog chorus based,41.0,1.5315777777777777,0.0290611972599787,0.0358097890354612
LINEAR_4,modified frog chorus based,42.0,1.5015333333333338,0.0291922249529525,0.036089795586586
LINEAR_4,modified frog chorus based,43.0,1.5390222222222223,0.0295161075673049,0.036128483315055
LINEAR_4,modified frog chorus based,44.0,1.5811111111111116,0.0299025798547466,0.036549995343362
LINEAR_4,modified frog chorus based,45.0,1.5501777777777783,0.0300932237790231,0.036896730851842
LINEAR_4,modified frog chorus based,46.0,1.4925555555555556,0.0303203334816701,0.037073148601287
LINEAR_4,modified frog chorus based,47.0,1.5462666666666671,0.0306734681332559,0.0372064799973011
LINEAR_4,modified frog chorus based,48.0,1.673088888888889,0.0308435076913192,0.0375275569403452
LINEAR_4,modified frog chorus based,49.0,1.5792222222222223,0.0310411516835885,0.0379948663935533
LINEAR_4,modified frog chorus based,50.0,1.5243999999999998,0.0314573978472931,0.0381484253506065
LINEAR_4,modified frog chorus based,51.0,1.612488888888889,0.0318229598312655,0.0384030207260192
LINEAR_4,modified frog chorus based,52.0,1.6700666666666668,0.0318768872314986,0.0385497149940055
LINEAR_4,modified frog chorus based,53.0,1.7186,0.0322711836699998,0.03892528627819
LINEAR_4,modified frog chorus based,54.0,1.7028,0.032611572135244,0.0393957193846282
LINEAR_4,modified frog chorus based,55.0,1.721666666666667,0.0328710152704848,0.0395410266860244
LINEAR_4,modified frog chorus based,56.0,1.8141111111111112,0.0333697635252411,0.0399938409096352
LINEAR_4,modified frog chorus based,57.0,1.8466222222222224,0.0337154219874747,0.0403459821988783
LINEAR_4,modified frog chorus based,58.0,1.865822222222222,0.0339589913236954,0.0408599868588209
LINEAR_4,modified frog chorus based,59.0,1.8266444444444443,0.0343329165357952,0.0412763365426855
LINEAR_4,modified frog chorus based,60.0,1.8424444444444448,0.0347157242775102,0.041538176880089
LINEAR_4,modified frog chorus based,61.0,1.885133333333334,0.0352897663152062,0.0416731686332084
LINEAR_4,modified frog chorus based,62.0,1.934911111111111,0.0356361362362256,0.042049265389885
LINEAR_4,modified frog chorus based,63.0,1.9608,0.0359176333112644,0.0423720501339409
LINEAR_4,modified frog chorus based,64.0,2.019755555555556,0.0364275384068306,0.0426889791333759
LINEAR_4,modified frog chorus based,65.0,1.9293111111111112,0.0368366299356242,0.0430898895391202
LINEAR_4,modified frog chorus based,66.0,2.022422222222222,0.0373374008465314,0.0435053676484628
LINEAR_4,modified frog chorus based,67.0,1.9416000000000004,0.0378043554471643,0.0437183048955626
LINEAR_4,modified frog chorus based,68.0,2.069466666666667,0.0383386287910167,0.0440118547058312
LINEAR_4,modified frog chorus based,69.0,2.111933333333334,0.0387628859354533,0.0444087272579977
LINEAR_4,modified frog chorus based,70.0,2.1298888888888894,0.0392240911418109,0.0446811702676428
LINEAR_4,modified frog chorus based,71.0,2.1012,0.0397434920866856,0.044913184507859
LINEAR_4,modified frog chorus based,72.0,2.176555555555556,0.040308985163153,0.0450243898087442
LINEAR_4,modified frog chorus based,73.0,2.195733333333333,0.0408698063561924,0.0454793163896443
LINEAR_4,modified frog chorus based,74.0,2.2104222222222223,0.0413934636930847,0.0458515997335184
LINEAR_4,modified frog chorus based,75.0,2.2600222222222226,0.0419920622170935,0.0462430444090771
LINEAR_4,modified frog chorus based,76.0,2.264977777777778,0.0426409062529097,0.0465944641076256
LINEAR_4,modified frog chorus based,77.0,2.278511111111112,0.0430982206177097,0.0470016935249189
LINEAR_4,modified frog chorus based,78.0,2.279244444444445,0.0436444237604874,0.0471718620229507
LINEAR_4,modified frog chorus based,79.0,2.315888888888889,0.0442280404265427,0.0475842098511198
LINEAR_4,modified frog chorus based,80.0,2.3440222222222222,0.0448344361740728,0.0479587095204574
LINEAR_4,modified frog chorus based,81.0,2.3087777777777783,0.0454082781828529,0.0481451442156607
LINEAR_4,modified frog chorus based,82.0,2.4076444444444443,0.0459484252085318,0.0484859846863702
LINEAR_4,modified frog chorus based,83.0,2.4414222222222226,0.0465586418499476,0.0489190902493152
LINEAR_4,modified frog chorus based,84.0,2.290755555555556,0.0472187638052485,0.0491409580817406
LINEAR_4,modified frog chorus based,85.0,2.445666666666667,0.0477697321741763,0.0494932697893815
