function,label,k,overall_per_mean
KURAMOTO,Kuramoto based,1.0,10.924599999999998
KURAMOTO,Kuramoto based,11.0,7.006777777777778
KURAMOTO,Kuramoto based,21.0,5.722177777777778
KURAMOTO,Kuramoto based,31.0,4.901133333333333
KURAMOTO,Kuramoto based,41.0,4.349288888888889
KURAMOTO,Kuramoto based,51.0,3.8673777777777776
KURAMOTO,Kuramoto based,61.0,3.4480666666666666
KURAMOTO,Kuramoto based,71.0,3.034666666666667
KURAMOTO,Kuramoto based,81.0,2.5639111111111115
KURAMOTO,Kuramoto based,91.0,2.2182888888888894
KURAMOTO,Kuramoto based,101.0,1.8749333333333331
KURAMOTO,Kuramoto based,111.0,1.6029777777777778
KURAMOTO,Kuramoto based,121.0,1.3980444444444442
KURAMOTO,Kuramoto based,131.0,1.2407555555555552
KURAMOTO,Kuramoto based,141.0,1.0951111111111114
KURAMOTO,Kuramoto based,151.0,0.985577777777778
KURAMOTO,Kuramoto based,161.0,0.8808666666666666
KURAMOTO,Kuramoto based,171.0,0.8145333333333336
KURAMOTO,Kuramoto based,181.0,0.7497999999999999
KURAMOTO,Kuramoto based,191.0,0.6846444444444447
KURAMOTO,Kuramoto based,201.0,0.6329111111111113
KURAMOTO,Kuramoto based,211.0,0.5843111111111112
KURAMOTO,Kuramoto based,221.0,0.5409777777777781
KURAMOTO,Kuramoto based,231.0,0.5054000000000001
KURAMOTO,Kuramoto based,241.0,0.4735777777777781
KURAMOTO,Kuramoto based,251.0,0.4443777777777781
KURAMOTO,Kuramoto based,261.0,0.4187777777777781
KURAMOTO,Kuramoto based,271.0,0.3951111111111114
KURAMOTO,Kuramoto based,281.0,0.3789555555555559
KURAMOTO,Kuramoto based,291.0,0.3629111111111113
KURAMOTO,Kuramoto based,301.0,0.3415111111111112
KURAMOTO,Kuramoto based,311.0,0.327888888888889
KURAMOTO,Kuramoto based,321.0,0.3138888888888891
KURAMOTO,Kuramoto based,331.0,0.2976888888888892
KURAMOTO,Kuramoto based,341.0,0.286488888888889
KURAMOTO,Kuramoto based,351.0,0.275
KURAMOTO,Kuramoto based,361.0,0.2680666666666667
KURAMOTO,Kuramoto based,371.0,0.2564888888888891
KURAMOTO,Kuramoto based,381.0,0.2476888888888889
KURAMOTO,Kuramoto based,391.0,0.2389111111111112
KURAMOTO,Kuramoto based,401.0,0.2303555555555557
KURAMOTO,Kuramoto based,411.0,0.2226444444444449
KURAMOTO,Kuramoto based,421.0,0.217088888888889
KURAMOTO,Kuramoto based,431.0,0.2116000000000001
KURAMOTO,Kuramoto based,441.0,0.2044444444444445
KURAMOTO,Kuramoto based,451.0,0.1999111111111112
KURAMOTO,Kuramoto based,461.0,0.1957777777777778
KURAMOTO,Kuramoto based,471.0,0.1925777777777778
KURAMOTO,Kuramoto based,481.0,0.1881555555555556
KURAMOTO,Kuramoto based,491.0,0.1861111111111111
KURAMOTO,Kuramoto based,501.0,0.1836444444444445
KURAMOTO,Kuramoto based,511.0,0.1800888888888889
