function,label,k,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,time_to_usable_median_min,time_to_usable_q1_min,time_to_usable_q3_min
KURAMOTO,Kuramoto,1.0,152.0,81.0,153.5,25.333333333333332,13.5,25.583333333333332
KURAMOTO,Kuramoto,11.0,125.5,73.25,170.25,20.916666666666668,12.208333333333334,28.375
KURAMOTO,Kuramoto,21.0,121.0,72.0,156.0,20.166666666666668,12.0,26.0
KURAMOTO,Kuramoto,31.0,110.0,66.5,137.5,18.333333333333332,11.083333333333334,22.916666666666668
KURAMOTO,Kuramoto,41.0,100.0,62.0,147.0,16.666666666666668,10.333333333333334,24.5
KURAMOTO,Kuramoto,51.0,101.0,58.25,143.75,16.833333333333332,9.708333333333334,23.958333333333332
KURAMOTO,Kuramoto,61.0,100.0,59.25,143.0,16.666666666666668,9.875,23.833333333333332
KURAMOTO,Kuramoto,71.0,100.5,62.0,138.0,16.75,10.333333333333334,23.0
KURAMOTO,Kuramoto,81.0,96.0,59.0,130.0,16.0,9.833333333333334,21.666666666666668
KURAMOTO,Kuramoto,91.0,88.0,55.0,123.0,14.666666666666666,9.166666666666666,20.5
KURAMOTO,Kuramoto,101.0,79.0,51.0,109.0,13.166666666666666,8.5,18.166666666666668
KURAMOTO,Kuramoto,111.0,68.0,46.0,91.0,11.333333333333334,7.666666666666667,15.166666666666666
KURAMOTO,Kuramoto,121.0,59.5,39.0,82.75,9.916666666666666,6.5,13.791666666666666
KURAMOTO,Kuramoto,131.0,53.0,37.0,72.5,8.833333333333334,6.166666666666667,12.083333333333334
KURAMOTO,Kuramoto,141.0,46.0,33.0,66.0,7.666666666666667,5.5,11.0
KURAMOTO,Kuramoto,151.0,43.0,30.75,58.0,7.166666666666667,5.125,9.666666666666666
KURAMOTO,Kuramoto,161.0,39.0,27.75,53.0,6.5,4.625,8.833333333333334
KURAMOTO,Kuramoto,171.0,36.0,26.0,49.0,6.0,4.333333333333333,8.166666666666666
KURAMOTO,Kuramoto,181.0,33.0,24.0,44.0,5.5,4.0,7.333333333333333
KURAMOTO,Kuramoto,191.0,31.0,22.0,41.0,5.166666666666667,3.6666666666666665,6.833333333333333
KURAMOTO,Kuramoto,201.0,28.0,21.0,39.0,4.666666666666667,3.5,6.5
KURAMOTO,Kuramoto,211.0,27.0,20.0,36.0,4.5,3.3333333333333335,6.0
KURAMOTO,Kuramoto,221.0,25.0,19.0,33.0,4.166666666666667,3.1666666666666665,5.5
KURAMOTO,Kuramoto,231.0,24.0,18.0,32.0,4.0,3.0,5.333333333333333
KURAMOTO,Kuramoto,241.0,23.0,17.0,30.0,3.8333333333333335,2.8333333333333335,5.0
KURAMOTO,Kuramoto,251.0,22.0,17.0,28.0,3.6666666666666665,2.8333333333333335,4.666666666666667
KURAMOTO,Kuramoto,261.0,21.0,16.0,28.0,3.5,2.6666666666666665,4.666666666666667
KURAMOTO,Kuramoto,271.0,20.0,16.0,26.0,3.3333333333333335,2.6666666666666665,4.333333333333333
KURAMOTO,Kuramoto,281.0,19.0,15.0,25.0,3.1666666666666665,2.5,4.166666666666667
KURAMOTO,Kuramoto,291.0,19.0,15.0,24.0,3.1666666666666665,2.5,4.0
KURAMOTO,Kuramoto,301.0,18.0,14.0,23.0,3.0,2.3333333333333335,3.8333333333333335
KURAMOTO,Kuramoto,311.0,18.0,14.0,22.0,3.0,2.3333333333333335,3.6666666666666665
KURAMOTO,Kuramoto,321.0,17.0,14.0,21.0,2.8333333333333335,2.3333333333333335,3.5
KURAMOTO,Kuramoto,331.0,17.0,14.0,20.0,2.8333333333333335,2.3333333333333335,3.3333333333333335
KURAMOTO,Kuramoto,341.0,16.0,13.0,20.0,2.6666666666666665,2.1666666666666665,3.3333333333333335
