function,label,k,usable_rate_percent
KURAMOTO,Kuramoto,1.0,0.6
KURAMOTO,Kuramoto,11.0,7.2
KURAMOTO,Kuramoto,21.0,13.8
KURAMOTO,Kuramoto,31.0,19.8
KURAMOTO,Kuramoto,41.0,26.6
KURAMOTO,Kuramoto,51.0,34.8
KURAMOTO,Kuramoto,61.0,45.6
KURAMOTO,Kuramoto,71.0,59.2
KURAMOTO,Kuramoto,81.0,76.2
KURAMOTO,Kuramoto,91.0,87.4
KURAMOTO,Kuramoto,101.0,95.4
KURAMOTO,Kuramoto,111.0,98.6
KURAMOTO,Kuramoto,121.0,99.6
KURAMOTO,Kuramoto,131.0,99.8
KURAMOTO,Kuramoto,141.0,100.0
KURAMOTO,Kuramoto,151.0,100.0
KURAMOTO,Kuramoto,161.0,100.0
KURAMOTO,Kuramoto,171.0,100.0
KURAMOTO,Kuramoto,181.0,100.0
KURAMOTO,Kuramoto,191.0,100.0
KURAMOTO,Kuramoto,201.0,100.0
KURAMOTO,Kuramoto,211.0,100.0
KURAMOTO,Kuramoto,221.0,100.0
KURAMOTO,Kuramoto,231.0,100.0
KURAMOTO,Kuramoto,241.0,100.0
KURAMOTO,Kuramoto,251.0,100.0
KURAMOTO,Kuramoto,261.0,100.0
KURAMOTO,Kuramoto,271.0,100.0
KURAMOTO,Kuramoto,281.0,100.0
KURAMOTO,Kuramoto,291.0,100.0
KURAMOTO,Kuramoto,301.0,100.0
KURAMOTO,Kuramoto,311.0,100.0
KURAMOTO,Kuramoto,321.0,100.0
KURAMOTO,Kuramoto,331.0,100.0
KURAMOTO,Kuramoto,341.0,100.0
KURAMOTO,Kuramoto,351.0,100.0
KURAMOTO,Kuramoto,361.0,100.0
KURAMOTO,Kuramoto,371.0,100.0
KURAMOTO,Kuramoto,381.0,100.0
KURAMOTO,Kuramoto,391.0,100.0
KURAMOTO,Kuramoto,401.0,100.0
KURAMOTO,Kuramoto,411.0,100.0
KURAMOTO,Kuramoto,421.0,100.0
KURAMOTO,Kuramoto,431.0,100.0
KURAMOTO,Kuramoto,441.0,100.0
KURAMOTO,Kuramoto,451.0,100.0
KURAMOTO,Kuramoto,461.0,100.0
KURAMOTO,Kuramoto,471.0,100.0
KURAMOTO,Kuramoto,481.0,100.0
KURAMOTO,Kuramoto,491.0,100.0
KURAMOTO,Kuramoto,501.0,100.0
KURAMOTO,Kuramoto,511.0,100.0
KURAMOTO,Kuramoto,521.0,100.0
KURAMOTO,Kuramoto,531.0,100.0
KURAMOTO,Kuramoto,541.0,100.0
KURAMOTO,Kuramoto,551.0,100.0
KURAMOTO,Kuramoto,561.0,100.0
KURAMOTO,Kuramoto,571.0,100.0
KURAMOTO,Kuramoto,581.0,100.0
KURAMOTO,Kuramoto,591.0,100.0
KURAMOTO,Kuramoto,601.0,100.0
KURAMOTO,Kuramoto,611.0,100.0
KURAMOTO,Kuramoto,621.0,100.0
KURAMOTO,Kuramoto,631.0,100.0
KURAMOTO,Kuramoto,641.0,100.0
KURAMOTO,Kuramoto,651.0,100.0
KURAMOTO,Kuramoto,661.0,100.0
KURAMOTO,Kuramoto,671.0,100.0
KURAMOTO,Kuramoto,681.0,100.0
KURAMOTO,Kuramoto,691.0,100.0
KURAMOTO,Kuramoto,701.0,100.0
KURAMOTO,Kuramoto,711.0,100.0
KURAMOTO,Kuramoto,721.0,100.0
KURAMOTO,Kuramoto,731.0,100.0
KURAMOTO,Kuramoto,741.0,100.0
KURAMOTO,Kuramoto,751.0,100.0
KURAMOTO,Kuramoto,761.0,100.0
KURAMOTO,Kuramoto,771.0,100.0
KURAMOTO,Kuramoto,781.0,99.8
KURAMOTO,Kuramoto,791.0,99.8
KURAMOTO,Kuramoto,801.0,97.4
KURAMOTO,Kuramoto,811.0,92.0
KURAMOTO,Kuramoto,821.0,78.0
KURAMOTO,Kuramoto,831.0,54.2
KURAMOTO,Kuramoto,841.0,42.0
KURAMOTO,Kuramoto,851.0,22.2
KURAMOTO,Kuramoto,861.0,10.8
KURAMOTO,Kuramoto,871.0,8.6
KURAMOTO,Kuramoto,881.0,5.6
KURAMOTO,Kuramoto,891.0,5.2
KURAMOTO,Kuramoto,901.0,3.4
KURAMOTO,Kuramoto,911.0,4.4
KURAMOTO,Kuramoto,921.0,5.2
KURAMOTO,Kuramoto,931.0,4.2
KURAMOTO,Kuramoto,941.0,3.0
KURAMOTO,Kuramoto,951.0,4.0
KURAMOTO,Kuramoto,961.0,5.4
KURAMOTO,Kuramoto,971.0,5.8
KURAMOTO,Kuramoto,981.0,4.0
KURAMOTO,Kuramoto,991.0,5.2
KURAMOTO,Kuramoto,1001.0,5.6
KURAMOTO,Kuramoto,1011.0,5.6
KURAMOTO,Kuramoto,1021.0,6.0
KURAMOTO,Kuramoto,1031.0,4.4
KURAMOTO,Kuramoto,1041.0,5.2
KURAMOTO,Kuramoto,1051.0,5.8
KURAMOTO,Kuramoto,1061.0,5.0
KURAMOTO,Kuramoto,1071.0,5.6
KURAMOTO,Kuramoto,1081.0,3.6
KURAMOTO,Kuramoto,1091.0,5.6
KURAMOTO,Kuramoto,1101.0,6.8
KURAMOTO,Kuramoto,1111.0,7.0
KURAMOTO,Kuramoto,1121.0,5.8
KURAMOTO,Kuramoto,1131.0,4.4
KURAMOTO,Kuramoto,1141.0,7.0
KURAMOTO,Kuramoto,1151.0,6.0
KURAMOTO,Kuramoto,1161.0,7.2
KURAMOTO,Kuramoto,1171.0,4.6
KURAMOTO,Kuramoto,1181.0,6.0
KURAMOTO,Kuramoto,1191.0,5.4
KURAMOTO,Kuramoto,1201.0,6.0
KURAMOTO,Kuramoto,1211.0,6.8
KURAMOTO,Kuramoto,1221.0,5.6
KURAMOTO,Kuramoto,1231.0,7.2
KURAMOTO,Kuramoto,1241.0,5.8
KURAMOTO,Kuramoto,1251.0,5.6
KURAMOTO,Kuramoto,1261.0,5.8
KURAMOTO,Kuramoto,1271.0,4.8
KURAMOTO,Kuramoto,1281.0,6.0
KURAMOTO,Kuramoto,1291.0,6.0
KURAMOTO,Kuramoto,1301.0,7.8
KURAMOTO,Kuramoto,1311.0,5.6
KURAMOTO,Kuramoto,1321.0,5.2
KURAMOTO,Kuramoto,1331.0,5.0
KURAMOTO,Kuramoto,1341.0,6.4
KURAMOTO,Kuramoto,1351.0,7.4
KURAMOTO,Kuramoto,1361.0,7.2
KURAMOTO,Kuramoto,1371.0,5.2
KURAMOTO,Kuramoto,1381.0,4.6
KURAMOTO,Kuramoto,1391.0,8.4
KURAMOTO,Kuramoto,1401.0,5.4
KURAMOTO,Kuramoto,1411.0,7.4
KURAMOTO,Kuramoto,1421.0,3.8
KURAMOTO,Kuramoto,1431.0,6.8
KURAMOTO,Kuramoto,1441.0,5.8
KURAMOTO,Kuramoto,1451.0,8.4
KURAMOTO,Kuramoto,1461.0,6.0
KURAMOTO,Kuramoto,1471.0,5.8
KURAMOTO,Kuramoto,1481.0,4.6
KURAMOTO,Kuramoto,1491.0,7.4
LINEAR,Frog chorus,1.0,39.2
LINEAR,Frog chorus,2.0,73.8
LINEAR,Frog chorus,3.0,88.4
LINEAR,Frog chorus,4.0,95.4
LINEAR,Frog chorus,5.0,96.2
LINEAR,Frog chorus,6.0,96.6
LINEAR,Frog chorus,7.0,96.6
LINEAR,Frog chorus,8.0,96.8
LINEAR,Frog chorus,9.0,96.6
LINEAR,Frog chorus,10.0,97.0
LINEAR,Frog chorus,11.0,96.6
LINEAR,Frog chorus,12.0,96.8
LINEAR,Frog chorus,13.0,97.0
LINEAR,Frog chorus,14.0,96.8
LINEAR,Frog chorus,15.0,97.0
LINEAR,Frog chorus,16.0,97.4
LINEAR,Frog chorus,17.0,97.0
LINEAR,Frog chorus,18.0,97.0
LINEAR,Frog chorus,19.0,96.2
LINEAR,Frog chorus,20.0,97.2
LINEAR,Frog chorus,21.0,97.0
LINEAR,Frog chorus,22.0,97.0
LINEAR,Frog chorus,23.0,96.2
LINEAR,Frog chorus,24.0,96.4
LINEAR,Frog chorus,25.0,96.6
LINEAR,Frog chorus,26.0,95.8
LINEAR,Frog chorus,27.0,95.8
LINEAR,Frog chorus,28.0,95.2
LINEAR,Frog chorus,29.0,96.0
LINEAR,Frog chorus,30.0,95.0
LINEAR,Frog chorus,31.0,94.0
LINEAR,Frog chorus,32.0,94.8
LINEAR,Frog chorus,33.0,95.2
LINEAR,Frog chorus,34.0,94.4
LINEAR,Frog chorus,35.0,94.6
LINEAR,Frog chorus,36.0,93.0
LINEAR,Frog chorus,37.0,93.0
LINEAR,Frog chorus,38.0,92.8
LINEAR,Frog chorus,39.0,93.6
LINEAR,Frog chorus,40.0,92.2
LINEAR,Frog chorus,41.0,93.2
LINEAR,Frog chorus,42.0,91.0
LINEAR,Frog chorus,43.0,91.0
LINEAR,Frog chorus,44.0,90.4
LINEAR,Frog chorus,45.0,89.2
LINEAR,Frog chorus,46.0,89.0
LINEAR,Frog chorus,47.0,89.4
LINEAR,Frog chorus,48.0,87.2
LINEAR,Frog chorus,49.0,88.4
LINEAR,Frog chorus,50.0,88.6
LINEAR,Frog chorus,51.0,86.8
LINEAR,Frog chorus,52.0,85.4
LINEAR,Frog chorus,53.0,86.4
LINEAR,Frog chorus,54.0,85.0
LINEAR,Frog chorus,55.0,82.0
LINEAR,Frog chorus,56.0,82.2
LINEAR,Frog chorus,57.0,81.4
LINEAR,Frog chorus,58.0,81.8
LINEAR,Frog chorus,59.0,80.6
LINEAR,Frog chorus,60.0,80.6
LINEAR,Frog chorus,61.0,79.0
LINEAR,Frog chorus,62.0,78.4
LINEAR,Frog chorus,63.0,74.4
LINEAR,Frog chorus,64.0,74.6
LINEAR,Frog chorus,65.0,73.4
LINEAR,Frog chorus,66.0,72.6
LINEAR,Frog chorus,67.0,72.4
LINEAR,Frog chorus,68.0,72.6
LINEAR,Frog chorus,69.0,69.4
LINEAR,Frog chorus,70.0,70.2
LINEAR,Frog chorus,71.0,66.8
LINEAR,Frog chorus,72.0,66.6
LINEAR,Frog chorus,73.0,66.4
LINEAR,Frog chorus,74.0,64.0
LINEAR,Frog chorus,75.0,65.0
LINEAR,Frog chorus,76.0,60.4
LINEAR,Frog chorus,77.0,59.8
LINEAR,Frog chorus,78.0,55.2
LINEAR,Frog chorus,79.0,58.8
LINEAR,Frog chorus,80.0,58.0
LINEAR,Frog chorus,81.0,54.0
LINEAR,Frog chorus,82.0,55.4
LINEAR,Frog chorus,83.0,51.2
LINEAR,Frog chorus,84.0,50.2
LINEAR,Frog chorus,85.0,52.0
LINEAR,Frog chorus,86.0,48.8
LINEAR,Frog chorus,87.0,54.0
LINEAR,Frog chorus,88.0,50.2
LINEAR,Frog chorus,89.0,47.4
LINEAR,Frog chorus,90.0,49.8
LINEAR,Frog chorus,91.0,47.2
LINEAR,Frog chorus,92.0,46.8
LINEAR,Frog chorus,93.0,46.0
LINEAR,Frog chorus,94.0,44.6
LINEAR,Frog chorus,95.0,43.8
LINEAR,Frog chorus,96.0,42.6
LINEAR,Frog chorus,97.0,44.0
LINEAR,Frog chorus,98.0,41.0
LINEAR,Frog chorus,99.0,41.2
LINEAR,Frog chorus,100.0,38.4
LINEAR,Frog chorus,101.0,39.8
LINEAR,Frog chorus,102.0,37.4
LINEAR,Frog chorus,103.0,38.0
LINEAR,Frog chorus,104.0,36.8
LINEAR,Frog chorus,105.0,38.4
LINEAR,Frog chorus,106.0,37.0
LINEAR,Frog chorus,107.0,31.8
LINEAR,Frog chorus,108.0,38.6
LINEAR,Frog chorus,109.0,36.2
LINEAR,Frog chorus,110.0,33.6
LINEAR,Frog chorus,111.0,29.8
LINEAR,Frog chorus,112.0,32.6
LINEAR,Frog chorus,113.0,29.4
LINEAR,Frog chorus,114.0,28.8
LINEAR,Frog chorus,115.0,25.8
LINEAR,Frog chorus,116.0,29.2
LINEAR,Frog chorus,117.0,26.8
LINEAR,Frog chorus,118.0,25.2
LINEAR,Frog chorus,119.0,28.4
LINEAR,Frog chorus,120.0,24.8
LINEAR,Frog chorus,121.0,24.8
LINEAR,Frog chorus,122.0,26.2
LINEAR,Frog chorus,123.0,22.4
LINEAR,Frog chorus,124.0,21.4
LINEAR,Frog chorus,125.0,22.4
LINEAR,Frog chorus,126.0,19.4
LINEAR,Frog chorus,127.0,18.6
LINEAR,Frog chorus,128.0,18.6
LINEAR,Frog chorus,129.0,17.4
LINEAR,Frog chorus,130.0,17.8
LINEAR,Frog chorus,131.0,15.4
LINEAR,Frog chorus,132.0,13.0
LINEAR,Frog chorus,133.0,14.6
LINEAR,Frog chorus,134.0,14.2
LINEAR,Frog chorus,135.0,13.0
LINEAR,Frog chorus,136.0,11.6
LINEAR,Frog chorus,137.0,14.2
LINEAR,Frog chorus,138.0,11.2
LINEAR,Frog chorus,139.0,9.4
LINEAR,Frog chorus,140.0,10.6
LINEAR,Frog chorus,141.0,7.4
LINEAR,Frog chorus,142.0,10.4
LINEAR,Frog chorus,143.0,8.6
LINEAR,Frog chorus,144.0,7.4
LINEAR,Frog chorus,145.0,9.6
LINEAR,Frog chorus,146.0,9.6
