run_id,final_10_cycle_adjacent_phase_gap_std_mean_rad,final_10_observed_cycle_count,coupling_function,device_count,k
019f6674-4513-7e2e-be20-17d902497614_0000,0.3967036992871994,10,LINEAR,10,2
019f6674-4514-78dd-80a9-cb5bd60b3957_0001,0.30761116406197003,10,LINEAR,10,2
019f6674-4515-7411-a1dc-ed25ab9fc5ed_0002,0.37956523820856536,10,LINEAR,10,2
019f6674-4516-79c0-86ce-bcd1dc1f47c9_0003,0.4665316234342659,10,LINEAR,10,2
019f6674-4517-74c2-9e0f-d0a11abae873_0004,0.1288283571910429,10,LINEAR,10,2
019f6674-4518-7f0d-963b-0a5a120f1d5f_0005,0.32037491962961145,10,LINEAR,10,2
019f6674-4519-7534-aac5-62a898becd15_0006,0.26210895049224886,10,LINEAR,10,2
019f6674-451a-7275-aa4a-58af0ac09257_0007,0.39470735614959057,10,LINEAR,10,2
019f6674-451b-767f-93ea-8baa0962e9f9_0008,0.7031247558318396,10,LINEAR,10,2
019f6674-451c-7cb3-84bc-eaa579ddae2e_0009,0.3480819480472344,10,LINEAR,10,2
019f6674-451d-7af6-8125-b500d0c6b644_0010,0.2775398201826325,10,LINEAR,10,2
019f6674-451e-7606-b255-f9dc7e282cd0_0011,0.3897378685437485,10,LINEAR,10,2
019f6674-451f-7b5b-8c67-33c5ddfe960d_0012,0.3684506015860728,10,LINEAR,10,2
019f6674-4520-7530-9d41-95d3a8370412_0013,0.08926342081754801,10,LINEAR,10,2
019f6674-4521-756b-8e44-7409cfa4a000_0014,0.41192105537991985,10,LINEAR,10,2
019f6674-4522-7612-88d6-1670507bdd25_0015,0.08329099477198867,10,LINEAR,10,2
019f6674-4523-782b-a4ae-47842e56faff_0016,0.5643477572944883,10,LINEAR,10,2
019f6674-4524-7bb2-90f8-50dd828605b3_0017,0.32705630153975884,10,LINEAR,10,2
019f6674-4525-7e84-be92-e98c86023b1b_0018,0.39077329822791307,10,LINEAR,10,2
019f6674-4526-7ecf-92e0-9ec1bddec56c_0019,0.5286431047164346,10,LINEAR,10,2
019f6674-4527-78d8-9be9-2cca24024540_0020,0.5197439810928624,10,LINEAR,10,2
019f6674-4528-7d1e-a0d1-9a82fcaecbc3_0021,0.149709207490816,10,LINEAR,10,2
019f6674-4529-7b5b-aa33-b22954700b17_0022,0.08814967732577987,10,LINEAR,10,2
019f6674-452a-717f-9079-0ba9a1090f91_0023,0.15429497728312638,10,LINEAR,10,2
019f6674-452b-7e9b-a31b-380567928a2a_0024,0.18196542366375304,10,LINEAR,10,2
019f6674-452c-7752-b608-2f7513c19ff0_0025,0.6070060422678775,10,LINEAR,10,2
019f6674-452d-7e4e-b4ee-4b4c05b0caca_0026,0.37070463318041935,10,LINEAR,10,2
019f6674-452e-7410-ad0a-0c32295f5ad0_0027,0.6208902244533869,10,LINEAR,10,2
019f6674-452f-7360-9669-649e467e2e4d_0028,0.3794068134782329,10,LINEAR,10,2
019f6674-4530-7b52-a0cb-b9db949c7c65_0029,0.5741501718815504,10,LINEAR,10,2
019f6674-4531-7345-9a1a-cb50fa42baa2_0030,0.195198721678347,10,LINEAR,10,2
019f6674-4532-7b41-b28e-64b38ef3c9b1_0031,0.3728771267331955,10,LINEAR,10,2
019f6674-4533-70d3-9193-4547223d30d5_0032,0.20827230524386237,10,LINEAR,10,2
019f6674-4534-703c-b455-8ce53c7dd098_0033,0.6177516930917121,10,LINEAR,10,2
019f6674-4535-7824-bb51-59125f42448e_0034,0.5050538444223159,10,LINEAR,10,2
019f6674-4536-7dc6-8396-2166899c61ba_0035,0.15607880860950538,10,LINEAR,10,2
019f6674-4537-7ec7-a979-00651743129d_0036,0.3323428754259348,10,LINEAR,10,2
019f6674-4538-7e26-a225-2103c19cbeb9_0037,0.5708983176188085,10,LINEAR,10,2
019f6674-4539-72b0-b47a-9890ba6e7bcc_0038,0.2918702513491921,10,LINEAR,10,2
019f6674-453a-7de8-997c-20f9adca9fef_0039,0.3113058718829761,10,LINEAR,10,2
019f6674-453b-7a3a-be28-ddd96b3a1873_0040,0.34498759050736083,10,LINEAR,10,2
019f6674-453c-7858-82e5-61a613f4804f_0041,0.4064872602092387,10,LINEAR,10,2
019f6674-453d-7368-9fac-14d6d5324e03_0042,0.5850519621554111,10,LINEAR,10,2
019f6674-453e-7ada-808d-6560019eba28_0043,0.5355993961534478,10,LINEAR,10,2
019f6674-453f-7c31-8778-d90ecce2ba43_0044,0.37012026484545235,10,LINEAR,10,2
019f6674-4540-7e9c-a069-80817c464ff3_0045,0.4476410740079045,10,LINEAR,10,2
019f6674-4541-7bd6-a645-0aee0e61b002_0046,0.6156715086460481,10,LINEAR,10,2
019f6674-4542-7d5e-8d6c-85b7f06df070_0047,0.4086224185825886,10,LINEAR,10,2
019f6674-4543-75bc-8b51-55d78736a779_0048,0.3454189598128978,10,LINEAR,10,2
019f6674-4544-75c9-8b3d-b446a1167df4_0049,0.39849462736579405,10,LINEAR,10,2
019f6674-4545-7ad2-90d7-4a3f13fb5a10_0050,0.4433891866165453,10,LINEAR,10,2
019f6674-4546-73d3-8d1a-fa0fb6fe6064_0051,0.25110805481188525,10,LINEAR,10,2
019f6674-4547-76ff-9ab0-ff677a5a02eb_0052,0.18196910596790858,10,LINEAR,10,2
019f6674-4548-70c3-bf11-3a110c2fc622_0053,0.24058002065125478,10,LINEAR,10,2
019f6674-4549-7cdc-b9ca-bcd279633514_0054,0.3965321649373479,10,LINEAR,10,2
019f6674-454a-7092-a9e5-a490d2a9827d_0055,0.33527085115031513,10,LINEAR,10,2
019f6674-454b-7a47-870f-0f9123b802dd_0056,0.5087263579538366,10,LINEAR,10,2
019f6674-454c-7ad7-afa5-8a19b84e44a7_0057,0.4561826238891973,10,LINEAR,10,2
019f6674-454d-7e78-a3bb-d0205eda5bdc_0058,0.288612203162148,10,LINEAR,10,2
019f6674-454e-76c3-977f-29017202b479_0059,0.43116915748196877,10,LINEAR,10,2
019f6674-454f-7da3-b825-fad870c587e1_0060,0.4269774318842311,10,LINEAR,10,2
019f6674-4550-774d-992b-1c9f9bf0a69c_0061,0.42079101273953573,10,LINEAR,10,2
019f6674-4551-7cde-b220-57048205494a_0062,0.18258670361157875,10,LINEAR,10,2
019f6674-4552-73e6-bab4-71f5098c897f_0063,0.3995735079907087,10,LINEAR,10,2
019f6674-4553-7252-a814-85eded13bf3e_0064,0.3971350400295733,10,LINEAR,10,2
019f6674-4554-71ae-83ed-5b1ed6be10a5_0065,0.5992783708524271,10,LINEAR,10,2
019f6674-4555-75ee-ba00-d5776aabaa37_0066,0.47364766948190395,10,LINEAR,10,2
