coupling_function,phase_difference_rad,coupling_function_value
KURAMOTO,-3.141592653589793,
KURAMOTO,-3.1328660073298216,-0.008726535498373959
KURAMOTO,-3.12413936106985,-0.01745240643728344
KURAMOTO,-3.115412714809878,-0.026176948307873423
KURAMOTO,-3.1066860685499065,-0.03489949670250114
KURAMOTO,-3.097959422289935,-0.04361938736533607
KURAMOTO,-3.0892327760299634,-0.05233595624294381
KURAMOTO,-3.0805061297699914,-0.06104853953485719
KURAMOTO,-3.07177948351002,-0.06975647374412552
KURAMOTO,-3.0630528372500483,-0.07845909572784507
KURAMOTO,-3.0543261909900767,-0.0871557427476582
KURAMOTO,-3.045599544730105,-0.09584575252022391
KURAMOTO,-3.036872898470133,-0.10452846326765373
KURAMOTO,-3.0281462522101616,-0.11320321376790689
KURAMOTO,-3.01941960595019,-0.12186934340514755
KURAMOTO,-3.0106929596902186,-0.13052619222005157
KURAMOTO,-3.0019663134302466,-0.13917310096006574
KURAMOTO,-2.993239667170275,-0.14780941112961082
KURAMOTO,-2.9845130209103035,-0.15643446504023098
KURAMOTO,-2.975786374650332,-0.16504760586067765
KURAMOTO,-2.9670597283903604,-0.17364817766693028
KURAMOTO,-2.9583330821303884,-0.18223552549214772
KURAMOTO,-2.949606435870417,-0.19080899537654497
KURAMOTO,-2.9408797896104453,-0.19936793441719725
KURAMOTO,-2.9321531433504737,-0.20791169081775931
KURAMOTO,-2.9234264970905017,-0.21643961393810318
KURAMOTO,-2.91469985083053,-0.2249510543438652
KURAMOTO,-2.9059732045705586,-0.23344536385590553
KURAMOTO,-2.897246558310587,-0.24192189559966773
KURAMOTO,-2.888519912050615,-0.2503800040544418
KURAMOTO,-2.8797932657906435,-0.258819045102521
KURAMOTO,-2.871066619530672,-0.267238376078257
KURAMOTO,-2.8623399732707004,-0.2756373558169992
KURAMOTO,-2.853613327010729,-0.2840153447039226
KURAMOTO,-2.844886680750757,-0.29237170472273705
KURAMOTO,-2.8361600344907854,-0.30070579950427334
KURAMOTO,-2.827433388230814,-0.3090169943749475
KURAMOTO,-2.8187067419708423,-0.31730465640509214
KURAMOTO,-2.8099800957108707,-0.3255681544571566
KURAMOTO,-2.8012534494508987,-0.3338068592337712
KURAMOTO,-2.792526803190927,-0.3420201433256689
KURAMOTO,-2.7838001569309556,-0.35020738125946754
KURAMOTO,-2.775073510670984,-0.3583679495453002
KURAMOTO,-2.766346864411012,-0.3665012267242976
KURAMOTO,-2.7576202181510405,-0.37460659341591224
KURAMOTO,-2.748893571891069,-0.3826834323650899
KURAMOTO,-2.7401669256310974,-0.39073112848927377
KURAMOTO,-2.7314402793711254,-0.39874906892524653
KURAMOTO,-2.722713633111154,-0.40673664307580043
KURAMOTO,-2.7139869868511823,-0.4146932426562392
KURAMOTO,-2.705260340591211,-0.4226182617406995
KURAMOTO,-2.6965336943312392,-0.4305110968082951
KURAMOTO,-2.6878070480712672,-0.4383711467890777
KURAMOTO,-2.6790804018112957,-0.446197813109809
KURAMOTO,-2.670353755551324,-0.45399049973954686
KURAMOTO,-2.6616271092913526,-0.4617486132350339
KURAMOTO,-2.652900463031381,-0.4694715627858907
KURAMOTO,-2.644173816771409,-0.4771587602596086
KURAMOTO,-2.6354471705114375,-0.48480962024633717
KURAMOTO,-2.626720524251466,-0.49242356010346716
KURAMOTO,-2.6179938779914944,-0.49999999999999994
KURAMOTO,-2.609267231731523,-0.507538362960704
KURAMOTO,-2.600540585471551,-0.5150380749100544
KURAMOTO,-2.5918139392115793,-0.5224985647159489
KURAMOTO,-2.5830872929516078,-0.5299192642332049
KURAMOTO,-2.574360646691636,-0.5372996083468241
KURAMOTO,-2.5656340004316642,-0.5446390350150273
KURAMOTO,-2.5569073541716927,-0.5519369853120583
KURAMOTO,-2.548180707911721,-0.5591929034707469
KURAMOTO,-2.5394540616517496,-0.5664062369248328
KURAMOTO,-2.5307274153917776,-0.5735764363510464
KURAMOTO,-2.522000769131806,-0.5807029557109399
KURAMOTO,-2.5132741228718345,-0.5877852522924732
KURAMOTO,-2.504547476611863,-0.5948227867513413
KURAMOTO,-2.4958208303518914,-0.6018150231520482
KURAMOTO,-2.4870941840919194,-0.6087614290087209
KURAMOTO,-2.478367537831948,-0.6156614753256584
KURAMOTO,-2.4696408915719763,-0.6225146366376196
KURAMOTO,-2.4609142453120048,-0.6293203910498374
KURAMOTO,-2.452187599052033,-0.6360782202777638
KURAMOTO,-2.443460952792061,-0.6427876096865395
KURAMOTO,-2.4347343065320897,-0.6494480483301838
KURAMOTO,-2.426007660272118,-0.6560590289905073
KURAMOTO,-2.417281014012146,-0.6626200482157377
KURAMOTO,-2.4085543677521746,-0.6691306063588583
KURAMOTO,-2.399827721492203,-0.6755902076156604
KURAMOTO,-2.3911010752322315,-0.6819983600624985
KURAMOTO,-2.38237442897226,-0.6883545756937539
KURAMOTO,-2.373647782712288,-0.6946583704589975
KURAMOTO,-2.3649211364523164,-0.700909264299851
KURAMOTO,-2.356194490192345,-0.7071067811865476
KURAMOTO,-2.3474678439323733,-0.7132504491541816
KURAMOTO,-2.3387411976724017,-0.7193398003386511
KURAMOTO,-2.3300145514124297,-0.7253743710122877
KURAMOTO,-2.321287905152458,-0.7313537016191706
KURAMOTO,-2.3125612588924866,-0.7372773368101241
KURAMOTO,-2.3038346126325147,-0.7431448254773945
KURAMOTO,-2.2951079663725436,-0.7489557207890021
KURAMOTO,-2.2863813201125716,-0.7547095802227721
KURAMOTO,-2.2776546738526,-0.7604059656000309
KURAMOTO,-2.2689280275926285,-0.766044443118978
KURAMOTO,-2.2602013813326565,-0.7716245833877202
KURAMOTO,-2.251474735072685,-0.777145961456971
KURAMOTO,-2.2427480888127134,-0.782608156852414
KURAMOTO,-2.234021442552742,-0.788010753606722
KURAMOTO,-2.2252947962927703,-0.7933533402912352
KURAMOTO,-2.2165681500327983,-0.798635510047293
KURAMOTO,-2.2078415037728267,-0.8038568606172174
KURAMOTO,-2.199114857512855,-0.8090169943749475
KURAMOTO,-2.1903882112528836,-0.8141155183563192
KURAMOTO,-2.181661564992912,-0.8191520442889917
KURAMOTO,-2.17293491873294,-0.8241261886220158
KURAMOTO,-2.1642082724729685,-0.8290375725550417
KURAMOTO,-2.155481626212997,-0.8338858220671682
KURAMOTO,-2.146754979953025,-0.8386705679454243
KURAMOTO,-2.138028333693054,-0.8433914458128856
KURAMOTO,-2.129301687433082,-0.8480480961564261
KURAMOTO,-2.1205750411731104,-0.8526401643540923
KURAMOTO,-2.111848394913139,-0.8571673007021123
KURAMOTO,-2.103121748653167,-0.8616291604415259
KURAMOTO,-2.0943951023931957,-0.8660254037844386
KURAMOTO,-2.0856684561332237,-0.8703556959398997
KURAMOTO,-2.076941809873252,-0.8746197071393959
KURAMOTO,-2.0682151636132806,-0.8788171126619654
KURAMOTO,-2.0594885173533086,-0.8829475928589271
KURAMOTO,-2.050761871093337,-0.8870108331782218
KURAMOTO,-2.0420352248333655,-0.8910065241883679
KURAMOTO,-2.0333085785733935,-0.8949343616020252
KURAMOTO,-2.0245819323134224,-0.8987940462991669
KURAMOTO,-2.0158552860534504,-0.9025852843498607
KURAMOTO,-2.007128639793479,-0.90630778703665
KURAMOTO,-1.9984019935335073,-0.9099612708765432
KURAMOTO,-1.9896753472735356,-0.913545457642601
KURAMOTO,-1.980948701013564,-0.917060074385124
KURAMOTO,-1.9722220547535922,-0.9205048534524404
KURAMOTO,-1.9634954084936207,-0.9238795325112867
KURAMOTO,-1.954768762233649,-0.9271838545667874
KURAMOTO,-1.9460421159736774,-0.9304175679820246
KURAMOTO,-1.9373154697137058,-0.9335804264972017
KURAMOTO,-1.928588823453734,-0.9366721892483977
KURAMOTO,-1.9198621771937625,-0.9396926207859084
KURAMOTO,-1.9111355309337907,-0.9426414910921784
