coupling_function,phi_original_rad,phase_difference_wrapped_rad,coupling_function_value
KURAMOTO,-3.141592653589793,-3.141592653589793,
KURAMOTO,-3.1328660073298216,-3.1328660073298216,-0.0087265354983739
KURAMOTO,-3.12413936106985,-3.12413936106985,-0.0174524064372834
KURAMOTO,-3.115412714809878,-3.115412714809878,-0.0261769483078734
KURAMOTO,-3.1066860685499065,-3.1066860685499065,-0.0348994967025011
KURAMOTO,-3.097959422289935,-3.097959422289935,-0.043619387365336
KURAMOTO,-3.0892327760299634,-3.0892327760299634,-0.0523359562429438
KURAMOTO,-3.0805061297699914,-3.0805061297699914,-0.0610485395348571
KURAMOTO,-3.07177948351002,-3.07177948351002,-0.0697564737441255
KURAMOTO,-3.0630528372500483,-3.0630528372500483,-0.078459095727845
KURAMOTO,-3.0543261909900767,-3.0543261909900767,-0.0871557427476582
KURAMOTO,-3.045599544730105,-3.045599544730105,-0.0958457525202239
KURAMOTO,-3.036872898470133,-3.036872898470133,-0.1045284632676537
KURAMOTO,-3.0281462522101616,-3.0281462522101616,-0.1132032137679068
KURAMOTO,-3.01941960595019,-3.01941960595019,-0.1218693434051475
KURAMOTO,-3.0106929596902186,-3.0106929596902186,-0.1305261922200515
KURAMOTO,-3.0019663134302466,-3.0019663134302466,-0.1391731009600657
KURAMOTO,-2.993239667170275,-2.993239667170275,-0.1478094111296108
KURAMOTO,-2.9845130209103035,-2.9845130209103035,-0.1564344650402309
KURAMOTO,-2.975786374650332,-2.975786374650332,-0.1650476058606776
KURAMOTO,-2.9670597283903604,-2.9670597283903604,-0.1736481776669302
KURAMOTO,-2.9583330821303884,-2.9583330821303884,-0.1822355254921477
KURAMOTO,-2.949606435870417,-2.949606435870417,-0.1908089953765449
KURAMOTO,-2.9408797896104453,-2.9408797896104453,-0.1993679344171972
KURAMOTO,-2.9321531433504737,-2.9321531433504737,-0.2079116908177593
KURAMOTO,-2.9234264970905017,-2.9234264970905017,-0.2164396139381031
KURAMOTO,-2.91469985083053,-2.91469985083053,-0.2249510543438652
KURAMOTO,-2.905973204570558,-2.905973204570558,-0.2334453638559055
KURAMOTO,-2.897246558310587,-2.897246558310587,-0.2419218955996677
KURAMOTO,-2.888519912050615,-2.888519912050615,-0.2503800040544418
KURAMOTO,-2.8797932657906435,-2.8797932657906435,-0.258819045102521
KURAMOTO,-2.871066619530672,-2.871066619530672,-0.267238376078257
KURAMOTO,-2.8623399732707004,-2.8623399732707004,-0.2756373558169992
KURAMOTO,-2.853613327010729,-2.853613327010729,-0.2840153447039226
KURAMOTO,-2.844886680750757,-2.844886680750757,-0.292371704722737
KURAMOTO,-2.8361600344907854,-2.8361600344907854,-0.3007057995042733
KURAMOTO,-2.827433388230814,-2.827433388230814,-0.3090169943749475
KURAMOTO,-2.8187067419708423,-2.8187067419708423,-0.3173046564050921
KURAMOTO,-2.8099800957108707,-2.8099800957108707,-0.3255681544571566
KURAMOTO,-2.8012534494508987,-2.8012534494508987,-0.3338068592337712
KURAMOTO,-2.792526803190927,-2.792526803190927,-0.3420201433256689
KURAMOTO,-2.783800156930956,-2.783800156930956,-0.3502073812594675
KURAMOTO,-2.775073510670984,-2.775073510670984,-0.3583679495453002
KURAMOTO,-2.766346864411012,-2.766346864411012,-0.3665012267242976
KURAMOTO,-2.7576202181510405,-2.7576202181510405,-0.3746065934159122
KURAMOTO,-2.748893571891069,-2.748893571891069,-0.3826834323650899
KURAMOTO,-2.740166925631097,-2.740166925631097,-0.3907311284892737
KURAMOTO,-2.731440279371125,-2.731440279371125,-0.3987490689252465
KURAMOTO,-2.722713633111154,-2.722713633111154,-0.4067366430758004
KURAMOTO,-2.7139869868511823,-2.7139869868511823,-0.4146932426562392
KURAMOTO,-2.705260340591211,-2.705260340591211,-0.4226182617406995
KURAMOTO,-2.6965336943312392,-2.6965336943312392,-0.4305110968082951
KURAMOTO,-2.6878070480712672,-2.6878070480712672,-0.4383711467890777
KURAMOTO,-2.679080401811296,-2.679080401811296,-0.446197813109809
KURAMOTO,-2.670353755551324,-2.670353755551324,-0.4539904997395468
KURAMOTO,-2.6616271092913526,-2.6616271092913526,-0.4617486132350339
KURAMOTO,-2.652900463031381,-2.652900463031381,-0.4694715627858907
KURAMOTO,-2.644173816771409,-2.644173816771409,-0.4771587602596086
KURAMOTO,-2.635447170511437,-2.635447170511437,-0.4848096202463371
KURAMOTO,-2.626720524251466,-2.626720524251466,-0.4924235601034671
KURAMOTO,-2.6179938779914944,-2.6179938779914944,-0.4999999999999999
KURAMOTO,-2.609267231731523,-2.609267231731523,-0.507538362960704
KURAMOTO,-2.600540585471551,-2.600540585471551,-0.5150380749100544
KURAMOTO,-2.5918139392115798,-2.5918139392115798,-0.5224985647159489
KURAMOTO,-2.583087292951608,-2.583087292951608,-0.5299192642332049
