coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total,max_safe_k_ge95_lower,max_safe_k_ge95_upper,max_safe_k_ge95_values,max_safe_k_ge95_count,mingap_safe_k_ge95_lower,mingap_safe_k_ge95_upper,mingap_safe_k_ge95_values,mingap_safe_k_ge95_count,per_optimal_k,per_plot_percent,per_zero_clipped,per_plot_floor_percent,final_10_cycle_adjacent_phase_gap_std_median_rad
KURAMOTO,10,1.0,1000,0.0,10.0,74.8,,10.8,1.0,74.9,1.0,96.6,0.4095325577118499,1.1072688767639054,0.0610099300640041,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0,0.0185185185185185,True,0.0185185185185185,0.5183701799679707
KURAMOTO,10,2.0,1000,0.0,10.0,77.7,,15.0,1.0,77.7,1.0,97.2,0.3820313102715451,1.0561570535605216,0.0759244238153185,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0,0.0185185185185185,True,0.0185185185185185,0.4864015411404866
KURAMOTO,10,3.0,1000,0.0,10.0,79.3,,18.7,1.0,79.4,1.0,98.3,0.3559122859001346,0.9859985849429072,0.0944503788227916,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0,0.0185185185185185,True,0.0185185185185185,0.4566068518545492
KURAMOTO,10,5.0,1000,0.0,10.0,81.3,,28.3,1.0,81.3,1.0,98.9,0.3048147371049644,0.8672449824058539,0.1409923232425425,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0,0.0185185185185185,True,0.0185185185185185,0.399297951718493
KURAMOTO,10,7.0,1000,0.0,10.0,82.8,,39.4,1.0,82.8,1.0,99.5,0.2647044985251995,0.7363978953099353,0.199736804766729,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0,0.0185185185185185,True,0.0185185185185185,0.3429288529804981
KURAMOTO,10,10.0,1000,0.0,10.0,84.5,153.5,54.7,1.0,84.5,1.0,99.9,0.2000935920076408,0.5493177498743713,0.2992808897303699,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0,0.0185185185185185,True,0.0185185185185185,0.2603342443502371
KURAMOTO,10,15.0,1000,0.0,10.0,86.7,103.0,76.7,1.0,86.7,1.0,99.9,0.1034953911473939,0.253016056236639,0.4721145834521923,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0,0.0185185185185185,True,0.0185185185185185,0.1308706421798609
KURAMOTO,10,20.0,1000,0.0,10.0,87.9,78.0,89.2,1.0,87.8,1.0,100.0,0.0237296242873988,0.0926036217654273,0.6053602881137448,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0,0.0185185185185185,True,0.0185185185185185,0.0300423930441858
KURAMOTO,10,30.0,1000,0.0,10.0,92.2,52.0,98.2,1.0,92.2,1.0,100.0,0.0164987864640883,0.081558130315839,0.6086826772042526,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0,0.0185185185185185,True,0.0185185185185185,0.0302288906250759
KURAMOTO,10,50.0,1000,0.0,10.0,99.4,32.0,100.0,1.0,99.4,1.0,100.0,0.0216704287501905,0.0929049835055718,0.5969304472296526,0,30.0,700.0,30;50;70;100;150;200;300;500;700,9,50.0,2000.0,50;70;100;150;200;300;500;700;1000;1500;2000,11,1.0,0.0185185185185185,True,0.0185185185185185,0.0369214124278255
