coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total,max_safe_k_ge95_lower,max_safe_k_ge95_upper,max_safe_k_ge95_values,max_safe_k_ge95_count,mingap_safe_k_ge95_lower,mingap_safe_k_ge95_upper,mingap_safe_k_ge95_values,mingap_safe_k_ge95_count,per_optimal_k,per_plot_percent,per_zero_clipped,per_plot_floor_percent,final_10_cycle_adjacent_phase_gap_std_median_rad
LINEAR,20,1.0,1000,2.6666666666666665,32.0,67.80000000000001,,6.5,81.0,67.80000000000001,1.0,99.9,0.1441116014849722,0.5661446231964625,0.1144907434282757,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0,2.6666666666666665,False,0.0185185185185185,0.195955886317002
LINEAR,20,2.0,1000,1.3611111111111112,28.5,83.8,,33.0,41.0,83.7,1.0,100.0,0.1019377551718988,0.3859698689202429,0.1834181092650179,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0,1.3611111111111112,False,0.0185185185185185,0.1391789064715936
LINEAR,20,3.0,1000,0.9027777777777776,29.0,93.2,150.0,58.9,28.0,93.2,1.0,100.0,0.0734586561430176,0.2424685349773705,0.2281272158956952,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0,0.9027777777777776,False,0.0185185185185185,0.0976945855455769
LINEAR,20,5.0,1000,0.5555555555555556,25.0,99.9,91.0,88.6,17.5,99.9,1.0,100.0,0.0315489113291624,0.0913260748778552,0.2772637904098501,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0,0.5555555555555556,False,0.0185185185185185,0.0399786652024354
LINEAR,20,7.0,1000,0.4166666666666667,21.0,100.0,66.0,97.6,13.0,100.0,1.0,100.0,0.0117320383062722,0.0536992122140656,0.2941036219751941,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0,0.4166666666666667,False,0.0185185185185185,0.01727856004578
LINEAR,20,10.0,1000,0.2777777777777778,17.0,100.0,46.0,99.7,9.0,100.0,1.0,100.0,0.013692614726412,0.0560266343800736,0.2882045019129952,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0,0.2777777777777778,False,0.0185185185185185,0.020097177311946
LINEAR,20,15.0,1000,0.1944444444444444,15.0,100.0,31.5,100.0,7.0,100.0,1.0,100.0,0.019135430052662,0.0661352791303326,0.277054854287064,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0,0.1944444444444444,False,0.0185185185185185,0.0259842578534163
LINEAR,20,20.0,1000,0.1388888888888889,13.0,100.0,24.0,99.9,5.0,100.0,1.0,100.0,0.0239999387253764,0.0761585012679217,0.2666163831074346,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0,0.1388888888888889,False,0.0185185185185185,0.0314500689555077
LINEAR,20,30.0,1000,0.1111111111111111,12.0,100.0,17.0,99.5,4.0,100.0,1.0,100.0,0.0326415351227948,0.0941727837058148,0.2472963503793408,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0,0.1111111111111111,False,0.0185185185185185,0.0412078654241535
LINEAR,20,50.0,1000,0.1111111111111111,12.0,100.0,11.0,98.3,4.0,100.0,1.0,100.0,0.0446949864970363,0.1255388641956474,0.2216302683357049,0,7.0,150.0,7;10;15;20;30;50;70;100;150,9,5.0,300.0,5;7;10;15;20;30;50;70;100;150;200;300,12,70.0,0.1111111111111111,False,0.0185185185185185,0.0753498005813857
