coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total,max_safe_k_ge95_lower,max_safe_k_ge95_upper,max_safe_k_ge95_values,max_safe_k_ge95_count,mingap_safe_k_ge95_lower,mingap_safe_k_ge95_upper,mingap_safe_k_ge95_values,mingap_safe_k_ge95_count,per_optimal_k,per_plot_percent,per_zero_clipped,per_plot_floor_percent,final_10_cycle_adjacent_phase_gap_std_median_rad
LINEAR,50,1.0,1000,8.38888888888889,138.0,14.7,,6.6000000000000005,,13.5,1.0,100.0,0.0380950232930067,0.2114290968481473,0.0158105326152815,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0,8.38888888888889,False,0.0185185185185185,0.0567622646247497
LINEAR,50,2.0,1000,5.127777777777778,119.0,53.7,159.0,58.5,164.0,52.8,1.0,100.0,0.0221800021394211,0.0882208863126886,0.0607384908531061,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0,5.127777777777778,False,0.0185185185185185,0.0303658764151354
LINEAR,50,3.0,1000,3.6,101.0,80.9,107.0,90.2,108.0,80.10000000000001,1.0,100.0,0.0134927416719528,0.0485424445420791,0.0980712304870494,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0,3.6,False,0.0185185185185185,0.0172734438236183
LINEAR,50,5.0,1000,2.1666666666666665,68.5,99.0,65.5,99.5,64.0,98.8,1.0,100.0,0.0126839529115009,0.0399509764403202,0.0978001986418925,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0,2.1666666666666665,False,0.0185185185185185,0.0156024136835752
LINEAR,50,7.0,1000,1.5555555555555556,50.0,100.0,48.0,99.3,45.0,100.0,1.0,100.0,0.0151204925303341,0.0473364788306263,0.0914875553303433,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0,1.5555555555555556,False,0.0185185185185185,0.0186213936795997
LINEAR,50,10.0,1000,1.0888888888888888,37.0,99.9,35.0,98.2,31.0,99.9,1.0,100.0,0.0178968389596793,0.056422268526274,0.0835187290017871,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0,1.0888888888888888,False,0.0185185185185185,0.0220451162780986
LINEAR,50,15.0,1000,0.7666666666666667,26.0,98.8,25.0,96.0,21.0,98.8,1.0,100.0,0.0217745291428818,0.0674988227398716,0.0739860999831395,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0,0.7666666666666667,False,0.0185185185185185,0.0268265864010147
LINEAR,50,20.0,1000,0.6,22.0,96.0,20.0,89.2,17.0,96.0,1.0,100.0,0.0244727593811883,0.0758769013513846,0.0669575751905384,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0,0.6,False,0.0185185185185185,0.0301963352512347
LINEAR,50,30.0,1000,0.4777777777777778,18.0,94.5,20.0,73.9,13.0,94.4,1.0,100.0,0.0286310588247412,0.0877002054582744,0.0571828984020405,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0,0.4777777777777778,False,0.0185185185185185,0.0351637499045415
LINEAR,50,50.0,1000,1.3666666666666667,54.0,82.1,,40.8,102.0,70.8,1.0,100.0,0.0345332697143505,0.1033643016198307,0.0527013643650144,0,5.0,15.0,5;7;10;15,4,5.0,20.0,5;7;10;15;20,5,30.0,1.3666666666666667,False,0.0185185185185185,0.0443752099547494
