coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total,max_safe_k_ge95_lower,max_safe_k_ge95_upper,max_safe_k_ge95_values,max_safe_k_ge95_count,mingap_safe_k_ge95_lower,mingap_safe_k_ge95_upper,mingap_safe_k_ge95_values,mingap_safe_k_ge95_count,per_optimal_k,per_plot_percent,per_zero_clipped,per_plot_floor_percent,final_10_cycle_adjacent_phase_gap_std_median_rad
LINEAR,10,1.0,1000,0.0,10.0,90.9,,17.0,1.0,91.0,1.0,98.8,0.3518173122995593,1.0091651399651416,0.2251649656496342,0,10.0,300.0,10;15;20;30;50;70;100;150;200;300,10,2.0,700.0,2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700,16,1.0,0.0185185185185185,True,0.0185185185185185,0.4497760413401124
LINEAR,10,2.0,1000,0.0,10.0,96.6,,26.6,1.0,96.6,1.0,99.9,0.2824757396489824,0.8760994049103483,0.3205320592809298,0,10.0,300.0,10;15;20;30;50;70;100;150;200;300,10,2.0,700.0,2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700,16,1.0,0.0185185185185185,True,0.0185185185185185,0.3745265617979128
LINEAR,10,3.0,1000,0.0,10.0,99.3,,39.1,1.0,99.3,1.0,100.0,0.2249789335337861,0.7408370106742302,0.3943267868798961,0,10.0,300.0,10;15;20;30;50;70;100;150;200;300,10,2.0,700.0,2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700,16,1.0,0.0185185185185185,True,0.0185185185185185,0.3064346689883535
LINEAR,10,5.0,1000,0.0,10.0,100.0,136.0,61.6,1.0,100.0,1.0,100.0,0.13969570363487,0.4436666601446241,0.4994279958199147,0,10.0,300.0,10;15;20;30;50;70;100;150;200;300,10,2.0,700.0,2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700,16,1.0,0.0185185185185185,True,0.0185185185185185,0.1897469384584032
LINEAR,10,7.0,1000,0.0,10.0,100.0,98.0,80.0,1.0,100.0,1.0,100.0,0.069585536596264,0.1882550504480114,0.5687530954794737,0,10.0,300.0,10;15;20;30;50;70;100;150;200;300,10,2.0,700.0,2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700,16,1.0,0.0185185185185185,True,0.0185185185185185,0.0914091311036285
LINEAR,10,10.0,1000,0.0,10.0,100.0,69.0,95.7,1.0,100.0,1.0,100.0,0.012895992321655,0.0749679986538682,0.6158600720441787,0,10.0,300.0,10;15;20;30;50;70;100;150;200;300,10,2.0,700.0,2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700,16,1.0,0.0185185185185185,True,0.0185185185185185,0.0264103224240259
LINEAR,10,15.0,1000,0.0,10.0,100.0,46.0,100.0,1.0,100.0,1.0,100.0,0.0144250857360187,0.0775624970343842,0.6119751992297855,0,10.0,300.0,10;15;20;30;50;70;100;150;200;300,10,2.0,700.0,2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700,16,1.0,0.0185185185185185,True,0.0185185185185185,0.0282996592473534
LINEAR,10,20.0,1000,0.0,10.0,100.0,35.0,100.0,1.0,100.0,1.0,100.0,0.0164784946140324,0.0809362313858261,0.607599898431624,0,10.0,300.0,10;15;20;30;50;70;100;150;200;300,10,2.0,700.0,2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700,16,1.0,0.0185185185185185,True,0.0185185185185185,0.0306258167043428
LINEAR,10,30.0,1000,0.0,10.0,100.0,24.0,100.0,1.0,100.0,1.0,100.0,0.020773925519237,0.0883504789170456,0.5991241105839102,0,10.0,300.0,10;15;20;30;50;70;100;150;200;300,10,2.0,700.0,2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700,16,1.0,0.0185185185185185,True,0.0185185185185185,0.0354663178907224
LINEAR,10,50.0,1000,0.0,10.0,100.0,15.0,100.0,1.0,100.0,1.0,100.0,0.0292342849383005,0.1023099272658786,0.583421589163445,0,10.0,300.0,10;15;20;30;50;70;100;150;200;300,10,2.0,700.0,2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700,16,1.0,0.0185185185185185,True,0.0185185185185185,0.0442799975785247
