coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total,max_safe_k_ge95_lower,max_safe_k_ge95_upper,max_safe_k_ge95_values,max_safe_k_ge95_count,mingap_safe_k_ge95_lower,mingap_safe_k_ge95_upper,mingap_safe_k_ge95_values,mingap_safe_k_ge95_count,per_optimal_k,per_plot_percent,per_zero_clipped,per_plot_floor_percent,final_10_cycle_adjacent_phase_gap_std_median_rad
LINEAR,5,1.0,1000,0.0,10.0,98.8,,39.0,1.0,98.8,1.0,96.4,0.7379284167261997,1.390656388781878,0.3852455277808433,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.8807532362436297
LINEAR,5,2.0,1000,0.0,10.0,99.2,,45.6,1.0,99.2,1.0,97.5,0.6768537350888335,1.2970590579362362,0.538336037920645,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.802507387017936
LINEAR,5,3.0,1000,0.0,10.0,99.9,165.5,50.4,1.0,99.9,1.0,98.2,0.6194024232956317,1.2352611904927748,0.6743670756051404,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.7422026031313029
LINEAR,5,5.0,1000,0.0,10.0,100.0,100.0,55.400000000000006,1.0,100.0,1.0,99.6,0.5558452649701744,1.1741820841888866,0.8112690981685092,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.6705550459986015
LINEAR,5,7.0,1000,0.0,10.0,100.0,72.0,57.9,1.0,100.0,1.0,100.0,0.5484818412583681,1.1423144255175104,0.8117846572092349,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.6431075552143066
LINEAR,5,10.0,1000,0.0,10.0,100.0,51.0,58.7,1.0,100.0,1.0,100.0,0.5342259876150426,1.1306134806534438,0.8122861919978641,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.6335735660228285
LINEAR,5,15.0,1000,0.0,10.0,100.0,34.0,59.0,1.0,100.0,1.0,100.0,0.5327140353795281,1.1290509201154626,0.8129156815373773,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.6317329902357405
LINEAR,5,20.0,1000,0.0,10.0,100.0,26.0,58.9,1.0,100.0,1.0,100.0,0.5318116865099487,1.1287459202905017,0.8132916130787118,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.6312190703025007
LINEAR,5,30.0,1000,0.0,10.0,100.0,18.0,59.1,1.0,100.0,1.0,100.0,0.5298355010012524,1.1264587931791348,0.8145984179455132,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.6281127320182665
LINEAR,5,50.0,1000,0.0,10.0,100.0,11.0,60.0,1.0,100.0,1.0,100.0,0.5283796624499395,1.121175213299343,0.8165143110787563,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.6257071085457604
LINEAR,5,70.0,1000,0.0,10.0,100.0,8.0,60.4,1.0,100.0,1.0,100.0,0.5241843907956802,1.118373055477305,0.8190522909907504,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.6212213193683047
LINEAR,5,100.0,1000,0.0,10.0,100.0,6.0,60.0,1.0,100.0,1.0,100.0,0.5179785099011953,1.1080326735258237,0.8222817967441525,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.6164607052370186
LINEAR,5,150.0,1000,0.0,10.0,100.0,5.0,61.3,1.0,100.0,1.0,100.0,0.4970622806042306,1.0895652288164437,0.8353638122521216,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.6007447013557792
LINEAR,5,200.0,1000,0.0,10.0,100.0,4.0,62.4,1.0,100.0,1.0,100.0,0.4821242022107513,1.0594928635213,0.8409447870365454,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.5856882846727051
LINEAR,5,300.0,1000,0.0,10.0,100.0,3.0,66.0,1.0,100.0,1.0,100.0,0.4498323127621865,1.0125629707542074,0.8541672658084936,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.5551175597637799
LINEAR,5,500.0,1000,0.0,10.0,100.0,2.0,86.7,1.0,100.0,1.0,100.0,0.3852432461654267,0.906987412364874,0.870993054359267,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.4915047777589335
LINEAR,5,700.0,1000,0.0,10.0,100.0,2.0,98.2,1.0,100.0,1.0,100.0,0.3209584538306302,0.7117017449365939,0.90318619332488,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.4025762938335896
LINEAR,5,1000.0,1000,0.0,10.0,100.0,2.0,100.0,1.0,100.0,1.0,100.0,0.2778245980539415,0.4656133460914256,0.9141515882168008,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.3178727573723197
LINEAR,5,1500.0,1000,0.0,10.0,100.0,3.0,75.2,1.0,100.0,1.0,100.0,0.3309975987964318,0.8078381109231693,0.8236627619181136,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.4585603348524515
LINEAR,5,2000.0,1000,0.0,16.0,100.0,9.0,88.2,7.0,100.0,2.0,100.0,0.0176793394596134,0.0432837746136236,1.2165411292529411,0,700.0,1000.0,700;1000,2,1.0,2000.0,1;2;3;5;7;10;15;20;30;50;70;100;150;200;300;500;700;1000;1500;2000,20,1.0,0.0185185185185185,True,0.0185185185185185,0.066286367806867
