coupling_function,device_count,k,run_count,overall_per_percent_median,ttu_cycle_median,ttu_reach_rate_percent,max_convergence_cycle_censored_median,max_convergence_rate_percent,mingap_convergence_cycle_censored_median,mingap_convergence_rate_percent,aux_mean_convergence_cycle_censored_median,aux_mean_convergence_rate_percent,final_10_cycle_new_mean_abs_dev_median,final_10_cycle_new_max_abs_dev_median,final_10_cycle_min_gap_median,simultaneous_collision_count_total,max_safe_k_ge95_lower,max_safe_k_ge95_upper,max_safe_k_ge95_values,max_safe_k_ge95_count,mingap_safe_k_ge95_lower,mingap_safe_k_ge95_upper,mingap_safe_k_ge95_values,mingap_safe_k_ge95_count,per_optimal_k
KURAMOTO,20,1.0,1000,5.680555555555555,10.0,27.500000000000004,,0.6,,27.500000000000004,1.0,98.0,0.2037255209006692,0.7099228634797579,0.011446427187699,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,2.0,1000,5.0,28.0,34.9,,1.3,,34.9,1.0,98.9,0.1910973115521539,0.6572260763672191,0.0072653707344362,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,3.0,1000,5.0,29.0,39.1,,4.2,,39.1,1.0,99.3,0.1788545160825514,0.6096885589908237,0.0040969991308633,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,5.0,1000,5.0,26.0,43.4,,14.9,,43.3,1.0,99.7,0.1565378989649392,0.4975509034928025,0.0034675366485681,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,7.0,1000,5.0,24.0,45.8,,26.8,,45.8,1.0,99.9,0.1361059271317358,0.3973039512129056,0.0088181341707155,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,10.0,1000,5.0,22.0,49.7,169.5,50.7,,49.6,1.0,100.0,0.1098312892845071,0.2898717520613065,0.0328620271590483,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,15.0,1000,3.638888888888889,21.0,56.00000000000001,114.0,75.8,121.0,56.00000000000001,1.0,100.0,0.0777579147486095,0.2048318561058319,0.0907177458440708,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,20.0,1000,2.680555555555556,21.0,61.9,86.0,91.2,86.5,61.9,1.0,100.0,0.048945135892431,0.1355274778819077,0.1656577644606209,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,30.0,1000,1.7638888888888888,19.0,66.8,58.5,98.8,58.0,66.7,1.0,100.0,0.01692944493966,0.0734891169862066,0.2793509733318421,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,50.0,1000,1.0277777777777777,22.0,83.2,36.0,99.9,34.0,83.1,1.0,100.0,0.0117537658175957,0.0545462342218492,0.2926126235250232,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,70.0,1000,0.7222222222222222,29.0,98.6,27.0,100.0,24.0,98.4,1.0,100.0,0.0135088213415011,0.0581904932765742,0.2879379005740868,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,100.0,1000,0.4166666666666667,22.0,100.0,20.0,100.0,14.0,100.0,1.0,100.0,0.0177027239519024,0.0691533837544597,0.2795390430108008,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
KURAMOTO,20,150.0,1000,0.2222222222222222,16.0,100.0,16.0,100.0,7.0,100.0,1.0,100.0,0.0255716875396736,0.0893964593860975,0.2642553842684225,0,30.0,500.0,30;50;70;100;150;200;300;500,8,70.0,700.0,70;100;150;200;300;500;700,7,500.0
