coupling_function,k,valid_run_count,failed_run_count,convergence_rate_percent,usable_rate_percent,converged_cycle_median,converged_cycle_q1,converged_cycle_q3,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,post_convergence_fluctuation_median,post_convergence_fluctuation_q1,post_convergence_fluctuation_q3,overall_per_mean,overall_per_std,transient_per_mean,transient_per_std,steady_per_mean,steady_per_std
KURAMOTO,1.0,500,0,0.0,0.6,,,,143.0,72.0,144.5,,,,10.924599999999998,3.81141462483301,,,,
KURAMOTO,11.0,500,0,0.0,7.2,,,,116.5,64.25,161.25,,,,7.006777777777778,3.0417417733366108,,,,
KURAMOTO,21.0,500,0,0.2,13.8,145.0,145.0,145.0,112.0,63.0,147.0,0.0005278992364563224,0.0005278992364563224,0.0005278992364563224,5.722177777777778,2.706474839995092,2.013888888888893,,0.0,
KURAMOTO,31.0,500,0,1.0,19.8,147.0,120.0,149.0,101.0,57.5,128.5,0.0003790624325451528,0.0003348266969536407,0.0004905464009748702,4.901133333333333,2.4687277772408778,1.429106563804816,0.7530550574156786,0.40000000000000036,0.8944271909999166
KURAMOTO,41.0,500,0,1.6,26.6,137.0,112.5,154.75,91.0,53.0,138.0,0.00032636693932191335,0.000279683368054618,0.0003641736578700685,4.349288888888889,2.289150289565955,1.7939730275493573,1.0807616725099263,0.2539682539682536,0.705590818123584
KURAMOTO,51.0,500,0,2.0,34.8,137.0,130.0,153.0,92.0,49.25,134.75,0.000291931385224377,0.00025449454495588437,0.0003287931291760656,3.8673777777777776,2.106260759097467,1.9461794574991262,1.1210242847304774,0.20000000000000018,0.6324555320336763
KURAMOTO,61.0,500,0,0.0,45.6,,,,91.0,50.25,134.0,,,,3.4480666666666666,1.9632728298327098,,,,
KURAMOTO,71.0,500,0,0.0,59.2,,,,91.5,53.0,129.0,,,,3.034666666666667,1.8231830238228206,,,,
KURAMOTO,81.0,500,0,0.0,76.2,,,,87.0,50.0,121.0,,,,2.5639111111111115,1.6056861072480126,,,,
KURAMOTO,91.0,500,0,0.0,87.4,,,,79.0,46.0,114.0,,,,2.2182888888888894,1.3962752901613062,,,,
KURAMOTO,101.0,500,0,0.0,95.4,,,,70.0,42.0,100.0,,,,1.8749333333333333,1.1835179847631376,,,,
KURAMOTO,111.0,500,0,0.0,98.6,,,,59.0,37.0,82.0,,,,1.6029777777777778,1.0371274095134915,,,,
KURAMOTO,121.0,500,0,0.0,99.6,,,,50.5,30.0,73.75,,,,1.3980444444444442,0.9266140782526896,,,,
KURAMOTO,131.0,500,0,0.0,99.8,,,,44.0,28.0,63.5,,,,1.2407555555555552,0.8077911282261288,,,,
KURAMOTO,141.0,500,0,0.0,100.0,,,,37.0,24.0,57.0,,,,1.0951111111111114,0.7185966927687327,,,,
KURAMOTO,151.0,500,0,0.0,100.0,,,,34.0,21.75,49.0,,,,0.985577777777778,0.630407991212317,,,,
KURAMOTO,161.0,500,0,0.0,100.0,,,,30.0,18.75,44.0,,,,0.8808666666666666,0.5576669648210636,,,,
KURAMOTO,171.0,500,0,0.0,100.0,,,,27.0,17.0,40.0,,,,0.8145333333333336,0.5294425379814799,,,,
KURAMOTO,181.0,500,0,0.0,100.0,,,,24.0,15.0,35.0,,,,0.7497999999999999,0.4903665948177391,,,,
KURAMOTO,191.0,500,0,0.0,100.0,,,,22.0,13.0,32.0,,,,0.6846444444444447,0.43620168641336887,,,,
KURAMOTO,201.0,500,0,0.0,100.0,,,,19.0,12.0,30.0,,,,0.6329111111111113,0.41528309678015174,,,,
KURAMOTO,211.0,500,0,0.0,100.0,,,,18.0,11.0,27.0,,,,0.5843111111111112,0.36929957849738243,,,,
KURAMOTO,221.0,500,0,0.0,100.0,,,,16.0,10.0,24.0,,,,0.5409777777777781,0.33949086271874357,,,,
KURAMOTO,231.0,500,0,0.0,100.0,,,,15.0,9.0,23.0,,,,0.5054000000000001,0.3161725654923185,,,,
KURAMOTO,241.0,500,0,0.0,100.0,,,,14.0,8.0,21.0,,,,0.4735777777777781,0.2976222844836757,,,,
KURAMOTO,251.0,500,0,0.0,100.0,,,,13.0,8.0,19.0,,,,0.4443777777777781,0.27483274356974574,,,,
KURAMOTO,261.0,500,0,0.0,100.0,,,,12.0,7.0,19.0,,,,0.41877777777777814,0.2596564986970648,,,,
KURAMOTO,271.0,500,0,0.0,100.0,,,,11.0,7.0,17.0,,,,0.3951111111111114,0.24431242766139585,,,,
KURAMOTO,281.0,500,0,0.0,100.0,,,,10.0,6.0,16.0,,,,0.3789555555555559,0.23141388090329035,,,,
KURAMOTO,291.0,500,0,0.0,100.0,,,,10.0,6.0,15.0,,,,0.3629111111111113,0.21998983240451095,,,,
KURAMOTO,301.0,500,0,0.0,100.0,,,,9.0,5.0,14.0,,,,0.34151111111111127,0.20629948490838632,,,,
KURAMOTO,311.0,500,0,0.0,100.0,,,,9.0,5.0,13.0,,,,0.327888888888889,0.19641694433568557,,,,
KURAMOTO,321.0,500,0,0.0,100.0,,,,8.0,5.0,12.0,,,,0.31388888888888916,0.1906117805566043,,,,
KURAMOTO,331.0,500,0,0.0,100.0,,,,8.0,5.0,11.0,,,,0.2976888888888892,0.17465270434284283,,,,
KURAMOTO,341.0,500,0,0.0,100.0,,,,7.0,4.0,11.0,,,,0.28648888888888907,0.16533100368753034,,,,
KURAMOTO,351.0,500,0,0.0,100.0,,,,7.0,4.0,10.0,,,,0.275,0.15388432494014007,,,,
KURAMOTO,361.0,500,0,0.0,100.0,,,,7.0,4.0,10.0,,,,0.26806666666666673,0.15468076542338502,,,,
KURAMOTO,371.0,500,0,0.0,100.0,,,,6.0,4.0,9.0,,,,0.2564888888888891,0.14589772316449157,,,,
KURAMOTO,381.0,500,0,0.0,100.0,,,,6.0,4.0,9.0,,,,0.24768888888888893,0.1414330490212656,,,,
KURAMOTO,391.0,500,0,0.0,100.0,,,,6.0,4.0,9.0,,,,0.23891111111111127,0.13682704527129297,,,,
KURAMOTO,401.0,500,0,0.0,100.0,,,,6.0,3.0,8.0,,,,0.23035555555555573,0.12839909546863149,,,,
KURAMOTO,411.0,500,0,0.0,100.0,,,,5.0,3.0,8.0,,,,0.22264444444444495,0.1257258575889767,,,,
KURAMOTO,421.0,500,0,0.0,100.0,,,,5.0,3.0,7.0,,,,0.217088888888889,0.12437853926507486,,,,
KURAMOTO,431.0,500,0,0.0,100.0,,,,5.0,3.0,7.0,,,,0.21160000000000012,0.114962241969273,,,,
KURAMOTO,441.0,500,0,0.0,100.0,,,,5.0,3.0,7.0,,,,0.20444444444444457,0.11152894050260302,,,,
KURAMOTO,451.0,500,0,0.0,100.0,,,,5.0,3.0,7.0,,,,0.19991111111111126,0.10765726102178987,,,,
KURAMOTO,461.0,500,0,0.0,100.0,,,,4.0,3.0,7.0,,,,0.19577777777777788,0.10709254956136335,,,,
KURAMOTO,471.0,500,0,0.0,100.0,,,,4.0,3.0,6.0,,,,0.1925777777777778,0.10518708672802925,,,,
KURAMOTO,481.0,500,0,0.0,100.0,,,,4.0,3.0,6.0,,,,0.18815555555555563,0.09763377535923642,,,,
KURAMOTO,491.0,500,0,0.0,100.0,,,,4.0,3.0,6.0,,,,0.18611111111111114,0.09746502429429148,,,,
KURAMOTO,501.0,500,0,0.0,100.0,,,,4.0,3.0,6.0,,,,0.18364444444444458,0.09695199969411128,,,,
KURAMOTO,511.0,500,0,0.0,100.0,,,,4.0,3.0,6.0,,,,0.18008888888888894,0.09483085711906354,,,,
KURAMOTO,521.0,500,0,0.0,100.0,,,,4.0,3.0,6.0,,,,0.17922222222222223,0.09437604763971748,,,,
KURAMOTO,531.0,500,0,0.0,100.0,,,,4.0,3.0,5.0,,,,0.17708888888888905,0.09379296173723076,,,,
