coupling_function,k,valid_run_count,failed_run_count,convergence_rate_percent,usable_rate_percent,converged_cycle_median,converged_cycle_q1,converged_cycle_q3,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,post_convergence_fluctuation_median,post_convergence_fluctuation_q1,post_convergence_fluctuation_q3,overall_per_mean,overall_per_std,transient_per_mean,transient_per_std,steady_per_mean,steady_per_std
LINEAR_4,1.0,500,0,0.0,67.0,,,,101.0,62.0,130.0,,,,3.4762666666666666,1.9220247556380574,,,,
LINEAR_4,2.0,500,0,0.4,95.8,148.0,142.0,154.0,63.0,39.0,89.0,0.00047468903108080366,0.0004375234984583122,0.000511854563703295,1.9049777777777779,1.1231789154329486,0.6816212438853997,0.37692596274570195,0.0,0.0
LINEAR_4,3.0,500,0,2.4,96.6,146.0,131.25,157.5,42.0,26.0,59.0,0.0001260316347565767,0.0001082065885480818,0.0002934016851865478,1.3112444444444442,0.7953942121957375,1.1509421040694237,0.7446970135135629,0.0,0.0
LINEAR_4,4.0,500,0,0.8,96.6,110.0,88.75,131.25,30.0,19.0,43.5,0.00012479374071281974,0.00010246989488191755,0.0001312436375519017,1.0136444444444446,0.6459246370744285,0.9637902029291379,0.8369498512457211,0.0,0.0
LINEAR_4,5.0,500,0,0.2,96.4,72.0,72.0,72.0,24.0,16.0,35.0,9.863639289868511e-05,9.863639289868511e-05,9.863639289868511e-05,0.8380666666666668,0.5728517250900255,0.3661971830985933,,0.0,
LINEAR_4,6.0,500,0,0.0,96.6,,,,20.0,13.0,28.0,,,,0.7264666666666667,0.5302086987752169,,,,
LINEAR_4,7.0,500,0,0.0,96.4,,,,16.0,11.0,23.0,,,,0.6498000000000003,0.5246582650252013,,,,
LINEAR_4,8.0,500,0,0.0,96.6,,,,14.0,10.0,20.0,,,,0.6094000000000003,0.5534462612093534,,,,
LINEAR_4,9.0,500,0,0.0,96.4,,,,12.0,8.0,18.0,,,,0.588355555555556,0.6100490453234817,,,,
LINEAR_4,10.0,500,0,0.0,96.6,,,,11.0,7.0,16.0,,,,0.5929777777777777,0.7177738910809135,,,,
LINEAR_4,11.0,500,0,0.0,96.6,,,,10.0,7.0,14.0,,,,0.618288888888889,0.8883822233918045,,,,
LINEAR_4,12.0,500,0,0.0,96.4,,,,9.0,6.0,13.0,,,,0.6674444444444448,1.094794078388294,,,,
LINEAR_4,13.0,500,0,0.0,96.6,,,,8.0,5.5,12.0,,,,0.7013111111111113,1.200866033148682,,,,
LINEAR_4,14.0,500,0,0.0,96.6,,,,8.0,5.0,11.0,,,,0.7720222222222224,1.489152646654209,,,,
LINEAR_4,15.0,500,0,0.0,96.6,,,,7.0,5.0,10.0,,,,0.6529333333333336,1.1636696511798859,,,,
LINEAR_4,16.0,500,0,0.0,96.8,,,,7.0,5.0,10.0,,,,0.6721777777777779,1.2219332254837039,,,,
LINEAR_4,17.0,500,0,0.0,96.6,,,,6.0,5.0,9.0,,,,0.758466666666667,1.4948140705849158,,,,
LINEAR_4,18.0,500,0,0.0,96.6,,,,6.0,4.0,8.0,,,,0.799955555555556,1.6059901408837631,,,,
LINEAR_4,19.0,500,0,0.0,96.6,,,,6.0,4.0,8.0,,,,0.8559777777777778,1.7489704448510042,,,,
LINEAR_4,20.0,500,0,0.0,96.2,,,,6.0,4.0,7.0,,,,0.8988222222222223,1.8842630943930994,,,,
LINEAR_4,21.0,500,0,0.0,96.8,,,,5.0,4.0,7.0,,,,0.9223555555555559,2.0681835970192517,,,,
LINEAR_4,22.0,500,0,0.0,97.0,,,,5.0,4.0,7.0,,,,0.9785111111111113,2.1420336545774297,,,,
LINEAR_4,23.0,500,0,0.0,96.6,,,,5.0,4.0,7.0,,,,0.9919111111111112,2.1742978053470776,,,,
LINEAR_4,24.0,500,0,0.0,96.6,,,,5.0,4.0,7.0,,,,1.037022222222222,2.327108517092159,,,,
LINEAR_4,25.0,500,0,0.0,96.0,,,,5.0,4.0,7.0,,,,1.091466666666667,2.4595392868483135,,,,
LINEAR_4,26.0,500,0,0.0,95.6,,,,5.0,3.0,6.0,,,,1.1865555555555556,2.6717675991674517,,,,
LINEAR_4,27.0,500,0,0.0,95.4,,,,5.0,3.0,6.0,,,,1.2094666666666667,2.7055338052828395,,,,
