coupling_function,k,valid_run_count,failed_run_count,convergence_rate_percent,usable_rate_percent,converged_cycle_median,converged_cycle_q1,converged_cycle_q3,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,post_convergence_fluctuation_median,post_convergence_fluctuation_q1,post_convergence_fluctuation_q3,overall_per_mean,overall_per_std,transient_per_mean,transient_per_std,steady_per_mean,steady_per_std
LINEAR,1.0,500,0,0.0,39.2,,,,96.5,58.75,128.25,,,,4.269511111111111,2.3486793356770237,,,,
LINEAR,2.0,500,0,0.4,73.8,135.5,129.75,141.25,76.0,44.0,120.0,0.0004853579477081408,0.0004161688221955387,0.0005545470732207429,2.712822222222222,1.7128264645425262,0.7476333667446267,0.4373840141118321,0.0,0.0
LINEAR,3.0,500,0,1.6,88.4,132.5,114.25,148.5,62.0,35.25,96.0,7.091993210381779e-05,5.8358723593214995e-05,0.00011307307446647825,1.9540444444444447,1.3068528262047947,2.162605640642258,1.5342679515639746,0.0,0.0
LINEAR,4.0,500,0,0.4,95.4,97.0,88.5,105.5,49.0,27.0,76.0,0.00018206428926202618,0.00015261472700259167,0.0002115138515214607,1.485911111111111,1.028020798267959,0.8296180127702446,0.5288052953065316,0.0,0.0
LINEAR,5.0,500,0,0.0,96.2,,,,38.0,21.0,62.0,,,,1.2020666666666666,0.850489575115674,,,,
LINEAR,6.0,500,0,0.0,96.6,,,,32.0,17.0,50.0,,,,1.018288888888889,0.7419966173660009,,,,
LINEAR,7.0,500,0,0.0,96.6,,,,27.0,14.0,41.0,,,,0.8841777777777781,0.6703608978697301,,,,
LINEAR,8.0,500,0,0.0,96.8,,,,22.5,12.0,36.0,,,,0.7921555555555556,0.6455652118202971,,,,
LINEAR,9.0,500,0,0.0,96.6,,,,19.0,11.0,32.0,,,,0.7417555555555561,0.6491096654855515,,,,
LINEAR,10.0,500,0,0.0,97.0,,,,17.0,10.0,28.0,,,,0.7156,0.6980451105924168,,,,
LINEAR,11.0,500,0,0.0,96.6,,,,16.0,9.0,25.0,,,,0.7296000000000001,0.8445665441617116,,,,
LINEAR,12.0,500,0,0.0,96.8,,,,14.0,8.0,22.25,,,,0.7677333333333336,1.082086207233602,,,,
LINEAR,13.0,500,0,0.0,97.0,,,,13.0,7.0,21.0,,,,0.7700444444444448,1.151486613519164,,,,
LINEAR,14.0,500,0,0.0,96.8,,,,12.0,6.0,19.0,,,,0.8127555555555556,1.3517073484605069,,,,
LINEAR,15.0,500,0,0.0,97.0,,,,11.0,6.0,18.0,,,,0.7903111111111116,1.3144589090978354,,,,
LINEAR,16.0,500,0,0.0,97.4,,,,10.0,6.0,17.0,,,,0.8100222222222223,1.4056116568031738,,,,
LINEAR,17.0,500,0,0.0,97.0,,,,9.0,5.0,16.0,,,,0.8858444444444447,1.604123118865718,,,,
LINEAR,18.0,500,0,0.0,97.0,,,,9.0,5.0,14.0,,,,0.8918444444444448,1.6370035744126668,,,,
LINEAR,19.0,500,0,0.0,96.2,,,,8.0,5.0,14.0,,,,0.9830000000000002,1.9252582425038602,,,,
LINEAR,20.0,500,0,0.0,97.2,,,,8.0,5.0,13.0,,,,0.9834444444444448,1.8733650896047995,,,,
LINEAR,21.0,500,0,0.0,97.0,,,,8.0,5.0,12.0,,,,1.0427777777777778,2.1051682898965507,,,,
LINEAR,22.0,500,0,0.0,97.0,,,,8.0,5.0,12.0,,,,1.095577777777778,2.25611976615121,,,,
LINEAR,23.0,500,0,0.0,96.2,,,,7.0,4.0,11.0,,,,1.1753777777777776,2.503556176874255,,,,
LINEAR,24.0,500,0,0.0,96.4,,,,7.0,4.0,10.75,,,,1.1834,2.4893809445965314,,,,
LINEAR,25.0,500,0,0.0,96.6,,,,7.0,4.0,10.0,,,,1.2280666666666669,2.6737858035506057,,,,
LINEAR,26.0,500,0,0.0,95.8,,,,6.0,4.0,10.0,,,,1.281177777777778,2.757057980580162,,,,
LINEAR,27.0,500,0,0.0,95.8,,,,6.0,4.0,10.0,,,,1.3968000000000003,3.0686592379719624,,,,
LINEAR,28.0,500,0,0.0,95.2,,,,6.0,4.0,9.0,,,,1.4054222222222224,3.0548843993977357,,,,
LINEAR,29.0,500,0,0.0,96.0,,,,6.0,4.0,10.0,,,,1.4364222222222223,3.1206455342499573,,,,
LINEAR,30.0,500,0,0.0,95.0,,,,6.0,4.0,9.0,,,,1.4973555555555558,3.2824083199129586,,,,
LINEAR,31.0,500,0,0.0,94.0,,,,6.0,4.0,9.0,,,,1.5172,3.31116811680278,,,,
LINEAR,32.0,500,0,0.0,94.8,,,,6.0,4.0,9.0,,,,1.4611555555555555,3.1540256385753933,,,,
LINEAR,33.0,500,0,0.0,95.2,,,,6.0,4.0,9.0,,,,1.4774222222222222,3.2096033396761534,,,,
LINEAR,34.0,500,0,0.0,94.4,,,,6.0,4.0,9.0,,,,1.4868444444444444,3.1801683387530124,,,,
LINEAR,35.0,500,0,0.0,94.6,,,,6.0,4.0,9.0,,,,1.5093777777777777,3.1837881598319266,,,,
