k,residual_median,residual_q1,residual_q3,residual_3min_median,residual_3min_q1,residual_3min_q3,n_runs
1.0,0.03898788680189898,0.032268999179729065,0.04625838334276408,0.08215578561277526,0.07559689050729596,0.08882179769442111,499
2.0,0.02196209198642863,0.01631976261137796,0.031041585630361378,0.07652228877107795,0.06968976114864735,0.08287399316316993,499
3.0,0.014288434827804841,0.009920376955454772,0.022292319313040633,0.07115682914887989,0.06438407307137024,0.07768067598334652,500
4.0,0.012809091218996614,0.009393929273018603,0.01773635414662281,0.0659823448877444,0.05950858777737272,0.07320873898499779,500
5.0,0.013703632547270368,0.010368801315348607,0.017036559812491362,0.061725923376227815,0.05515122151502596,0.06910510535618876,500
6.0,0.014730086925799381,0.011535220385477515,0.018774371814649894,0.0580577963402744,0.051663498224095515,0.06573024367291083,500
7.0,0.015977690623767214,0.012598867604749505,0.020658391091293637,0.054813963440645604,0.04889896834024354,0.062414567022526186,500
8.0,0.01701982975141311,0.013353062804557975,0.02280403531009409,0.05210477342804512,0.04604573811063255,0.05937644508861828,500
9.0,0.018017714787178868,0.014540572937155636,0.024064261938568168,0.049856702639808764,0.04352448599254195,0.05704191015651222,499
10.0,0.018992553594610828,0.01535541923919786,0.024740140418277424,0.04764655823740124,0.041250747277855764,0.05493084025702852,498
11.0,0.019938596196456528,0.01620499477324102,0.026334040744254827,0.04569926783882808,0.03917731004500066,0.05296023337639404,498
12.0,0.020403991421589524,0.016848690443767144,0.027018537137353357,0.043779455012389834,0.03754335966053296,0.050946543227482974,498
13.0,0.021380255992600912,0.017638999321702088,0.028262557211902798,0.04207339589761228,0.03602326893518103,0.049286887980161204,499
14.0,0.02228393281117415,0.018078513472529745,0.028461761801278088,0.04082491976450593,0.03466847109061084,0.04780610286662816,495
15.0,0.023236505988146694,0.018924194500261893,0.029508987501997513,0.039455672048532855,0.033651303557210056,0.046690188458373166,496
16.0,0.023532715346885877,0.019324416051630783,0.03010465424904914,0.0383758791229895,0.032286034696006764,0.04538639311438287,495
17.0,0.024123804207174644,0.01974695311068352,0.030924313712319018,0.03732949370568896,0.031416764307795816,0.044619954452559764,498
18.0,0.024527689158659105,0.02037479332914215,0.030994884651682226,0.036575153796005275,0.03065304875260731,0.04371108390495406,493
19.0,0.02519322360217719,0.020867206291432912,0.031433348518283874,0.035823496995689555,0.0301224963380362,0.042903890173118985,494
20.0,0.0259384885313494,0.02119968125001684,0.03175007203534334,0.03517266440995476,0.02962114493485235,0.04273761520591486,495
21.0,0.025789703644067453,0.021736847599225145,0.032688715215560354,0.03489487293738508,0.029439835006028595,0.04229249079216831,491
22.0,0.026731174388964607,0.02234054372221912,0.03330500019050664,0.034600785456747635,0.029217019050831808,0.04141601954607394,491
23.0,0.027224970475944153,0.022647758812176004,0.033315878962688866,0.034382455185011804,0.028975359224773685,0.04138210696336108,491
24.0,0.027789452609196796,0.023247288156337028,0.0341585178280534,0.03410391763698596,0.028837443704855966,0.041030371498743765,490
25.0,0.02821993959603004,0.02375259392038189,0.03457680119405053,0.033948176380072095,0.028869678567258174,0.04078808324155739,493
26.0,0.028818489917149193,0.024128590896582328,0.03509885721804418,0.03424634744575346,0.02889541232363803,0.04054005961663106,492
27.0,0.029394874219762713,0.024620309900947164,0.035222942496831125,0.034168989168344086,0.029085696499171268,0.040896305999613226,493
28.0,0.029812863905262832,0.024621327698690264,0.03622859341834036,0.034389907854268695,0.029283118093312445,0.040720950040661535,496
29.0,0.02965288017430241,0.02502631486865894,0.036526401833590724,0.03415320331525916,0.029536683294986762,0.041057516472570374,492
30.0,0.0303930484891677,0.025609671657852096,0.03662769374969234,0.034256004243821976,0.029691136329791257,0.04087416406493338,494
31.0,0.030472302396156826,0.025895217714598892,0.037129546334605565,0.03444312950463372,0.030148939205933797,0.04055125815228125,491
32.0,0.030816713014790054,0.026682046955277223,0.037236494472822027,0.035001519910158346,0.030671089589377976,0.04059540581231688,489
33.0,0.03085909898858587,0.0270078532002209,0.0377248586884062,0.03497574686011126,0.031065618827923316,0.0408814977571043,493
34.0,0.031599580420399606,0.027404785590723294,0.03777702868168468,0.035292999849318454,0.031210286116753506,0.04103053268559648,492
35.0,0.03198028910835149,0.027790699369115185,0.03786054953544947,0.03559067107197306,0.031574255918114996,0.041270454792969584,489
36.0,0.032249860184088014,0.028340566112974912,0.03829506248963833,0.03570929169692742,0.03180612776379865,0.0414311729102359,494
37.0,0.03275735148297938,0.028443774997471957,0.03877606684867168,0.036311678864044517,0.032029122193956816,0.04182276509497619,492
38.0,0.032935915063833136,0.028934449806072564,0.038837142619405074,0.03666768511575441,0.03272647276719755,0.04184271621116699,488
39.0,0.033500541970567524,0.02932043236688161,0.03957580485092932,0.03715485642613417,0.033020774960091134,0.04207554136527639,491
40.0,0.03384544411720236,0.029829461515978976,0.03986436308679156,0.037292679850718546,0.03342025067538972,0.04242400592260468,494
41.0,0.03404471369972019,0.0302427288615859,0.039831990843496756,0.03754344748809038,0.033740061996165284,0.04258559418324962,489
42.0,0.0345073526068544,0.03045218217470968,0.040398694491910046,0.03774109526551364,0.033877336067706,0.042717289425561425,492
43.0,0.03479963229850146,0.03102327352484333,0.0409987065341199,0.038309935488255564,0.03426202652649097,0.04297937455506514,495
44.0,0.035126780598373916,0.03144752160603495,0.040926893170351655,0.03849532640840761,0.03466111360094526,0.04315644211155887,492
45.0,0.03536995759133272,0.03172116068927391,0.04120142715843347,0.03881719751803843,0.034944075230799815,0.043564887831648344,494
46.0,0.03546076801178561,0.03206882633423093,0.04133606703857562,0.03924604189838296,0.03519308407240541,0.04395034928537734,494
47.0,0.03563213391216921,0.03213298706016476,0.041345242757900844,0.03943567663912112,0.03549433734278632,0.04442296822990251,491
48.0,0.03586395137163453,0.03266707007884307,0.04167180754314243,0.03979714054321341,0.035851416581204644,0.04444282673998727,495
49.0,0.03619840859346444,0.032891504036963115,0.04195446079460596,0.040197594471922976,0.03630135219136095,0.04493193974104791,491
50.0,0.03655578563646934,0.03326504919198164,0.04173173127914218,0.04066094114556169,0.0369498201047565,0.04527514922330947,492
51.0,0.037024818360341195,0.03373872968064531,0.04209634840851302,0.04098014436097609,0.03757545925054984,0.04569394344293061,494
52.0,0.037122955478288026,0.0340574504988068,0.041929665162397295,0.04148194976969717,0.038028310997416846,0.04636570392514865,491
53.0,0.03725006379419489,0.03452673924482483,0.04195880313703037,0.04186704467746438,0.038573085549157435,0.04649843167208807,487
54.0,0.03775884950514895,0.03489744583398843,0.04253835962214193,0.04228026875433531,0.039108450412024785,0.04700536653656495,491
55.0,0.03807878770897466,0.03531748608197992,0.04285932986855841,0.04262836507759214,0.03933832369592287,0.046878891957267015,495
56.0,0.038459564916912284,0.03583146840426558,0.042863097266048165,0.04303458871240917,0.039557118697636055,0.046987842133676544,494
57.0,0.03891657796155031,0.03625272069126496,0.04334001350182641,0.04343080092787112,0.04024678954312206,0.04724338949168365,494
58.0,0.03916273181454587,0.036583095915146246,0.043368353556593846,0.04360756364808038,0.04046847522204049,0.047907860009898516,492
59.0,0.03959670763530039,0.03709021966952737,0.04361247264522751,0.04403859605076269,0.04088402428401959,0.04845916336977034,495
60.0,0.04002284383129673,0.03758177111267862,0.044003428006984785,0.04433456150242776,0.04131469206911355,0.04860535720308608,490
61.0,0.04044992664103904,0.03796346896852697,0.04453836003122848,0.04490802131583978,0.041730199232902054,0.04876379456006488,497
62.0,0.040710234773274505,0.03853878023139333,0.04428524992806706,0.04519497894601958,0.042216917345007446,0.04903228764724284,489
63.0,0.04119974595562298,0.03904403851039756,0.04510382527979513,0.04548020326327676,0.042478426730685956,0.04912489469234704,494
64.0,0.04158521713316625,0.03957682941678289,0.045248436149713744,0.04563146512441967,0.04279276727480314,0.049477015529796664,493
