coupling_function,k,valid_run_count,failed_run_count,convergence_rate_percent,usable_rate_percent,converged_cycle_median,converged_cycle_q1,converged_cycle_q3,time_to_usable_median,time_to_usable_q1,time_to_usable_q3,post_convergence_fluctuation_median,post_convergence_fluctuation_q1,post_convergence_fluctuation_q3,overall_per_mean,overall_per_std,transient_per_mean,transient_per_std,steady_per_mean,steady_per_std
NewSIN,1.0,500,0,0.0,60.4,,,,100.0,62.25,132.0,,,,3.641466666666667,2.018053190412477,,,,
NewSIN,2.0,500,0,0.4,96.6,146.0,139.5,152.5,69.0,42.5,100.0,0.0003972802186688926,0.00039014961621660173,0.00040441082112118343,2.020466666666666,1.2091583887174029,0.7088607594936736,0.41173306246305047,0.0,0.0
NewSIN,3.0,500,0,2.2,99.2,139.0,122.0,148.5,47.0,27.75,67.0,0.0001717143812630664,0.00010065265597050114,0.000260362303165465,1.3725333333333336,0.8218415844284355,1.3926043432942417,1.066417517496495,0.0,0.0
NewSIN,4.0,500,0,0.8,99.6,129.0,107.0,146.5,34.5,21.0,49.0,7.477757146587822e-05,5.5375319817731527e-05,0.00011407045099646378,1.0414666666666665,0.6168233842518496,0.7409977320961214,0.27174920286716464,0.0,0.0
NewSIN,5.0,500,0,0.0,99.6,,,,27.0,17.0,38.75,,,,0.8514,0.5186706936520029,,,,
NewSIN,6.0,500,0,0.0,99.4,,,,23.0,14.0,32.0,,,,0.7271555555555553,0.4548262601700787,,,,
NewSIN,7.0,500,0,0.0,99.6,,,,18.0,12.0,26.0,,,,0.6322666666666666,0.4063748285135441,,,,
NewSIN,8.0,500,0,0.0,99.8,,,,16.0,10.0,23.0,,,,0.5747555555555559,0.36861355293720655,,,,
NewSIN,9.0,500,0,0.0,99.6,,,,14.0,9.0,20.0,,,,0.5420888888888893,0.39407256422888515,,,,
NewSIN,10.0,500,0,0.0,99.6,,,,12.0,8.0,18.0,,,,0.5208888888888893,0.40432629103572054,,,,
NewSIN,11.0,500,0,0.0,99.6,,,,11.0,7.0,16.0,,,,0.505288888888889,0.41546608357643394,,,,
NewSIN,12.0,500,0,0.0,99.4,,,,10.0,7.0,14.0,,,,0.5011555555555557,0.4687937527021371,,,,
NewSIN,13.0,500,0,0.0,99.0,,,,9.0,6.0,13.0,,,,0.48984444444444475,0.4828126127194328,,,,
NewSIN,14.0,500,0,0.0,99.2,,,,8.0,6.0,12.0,,,,0.480066666666667,0.49624179065506757,,,,
NewSIN,15.0,500,0,0.0,99.6,,,,8.0,5.0,11.0,,,,0.47495555555555596,0.4983603939056656,,,,
NewSIN,16.0,500,0,0.0,99.8,,,,7.0,5.0,11.0,,,,0.47524444444444475,0.5360466883623184,,,,
NewSIN,17.0,500,0,0.0,99.4,,,,7.0,5.0,10.0,,,,0.46942222222222235,0.5399255909214791,,,,
NewSIN,18.0,500,0,0.0,99.0,,,,7.0,4.5,9.0,,,,0.46986666666666677,0.5683497884017359,,,,
NewSIN,19.0,500,0,0.0,99.0,,,,6.0,4.0,9.0,,,,0.4686666666666665,0.5918748947550843,,,,
NewSIN,20.0,500,0,0.0,99.2,,,,6.0,4.0,8.0,,,,0.4589333333333334,0.5730131273693982,,,,
NewSIN,21.0,500,0,0.0,99.6,,,,6.0,4.0,8.0,,,,0.4555111111111109,0.5758708214939107,,,,
NewSIN,22.0,500,0,0.0,99.2,,,,6.0,4.0,8.0,,,,0.4616444444444447,0.6093569788373517,,,,
NewSIN,23.0,500,0,0.0,99.4,,,,6.0,4.0,8.0,,,,0.45842222222222223,0.6088987946703203,,,,
NewSIN,24.0,500,0,0.0,99.4,,,,5.0,4.0,7.0,,,,0.4516666666666667,0.6034816043262523,,,,
NewSIN,25.0,500,0,0.0,99.2,,,,5.0,4.0,7.0,,,,0.45228888888888885,0.6005435949340928,,,,
NewSIN,26.0,500,0,0.0,99.2,,,,5.0,4.0,7.0,,,,0.4530444444444446,0.612526136902442,,,,
NewSIN,27.0,500,0,0.0,98.8,,,,5.0,4.0,7.0,,,,0.45553333333333373,0.6109297109364473,,,,
NewSIN,28.0,500,0,0.0,99.0,,,,5.0,4.0,7.0,,,,0.455888888888889,0.6234684195569287,,,,
NewSIN,29.0,500,0,0.0,98.8,,,,5.0,4.0,7.0,,,,0.46071111111111146,0.6435905152578152,,,,
NewSIN,30.0,500,0,0.0,98.4,,,,5.0,4.0,7.0,,,,0.4712666666666671,0.6678723051360477,,,,
NewSIN,31.0,500,0,0.0,98.4,,,,5.0,4.0,7.0,,,,0.4735111111111115,0.6751131724319875,,,,
NewSIN,32.0,500,0,0.0,99.0,,,,5.0,4.0,7.0,,,,0.47060000000000024,0.65896357629132,,,,
NewSIN,33.0,500,0,0.0,98.6,,,,5.0,4.0,7.0,,,,0.4844444444444446,0.6970916811262315,,,,
NewSIN,34.0,500,0,0.0,98.8,,,,5.0,4.0,7.0,,,,0.4959111111111112,0.7291762716123658,,,,
NewSIN,35.0,500,0,0.0,98.6,,,,5.0,4.0,7.0,,,,0.49184444444444453,0.7272732646295098,,,,
NewSIN,36.0,500,0,0.0,99.2,,,,5.0,4.0,7.0,,,,0.49073333333333347,0.6883110077181324,,,,
NewSIN,37.0,500,0,0.0,98.4,,,,5.0,4.0,7.0,,,,0.49437777777777797,0.692655497051875,,,,
NewSIN,38.0,500,0,0.0,98.8,,,,5.0,4.0,7.0,,,,0.5182444444444445,0.7429786994133706,,,,
NewSIN,39.0,500,0,0.0,99.0,,,,5.0,4.0,7.0,,,,0.5201555555555557,0.7130477174973564,,,,
NewSIN,40.0,500,0,0.0,99.4,,,,5.0,4.0,8.0,,,,0.5358222222222222,0.7609586680369215,,,,
NewSIN,41.0,500,0,0.0,98.4,,,,5.0,4.0,8.25,,,,0.5385111111111112,0.7505700880577467,,,,
