coupling_function,coupling_parameter,alpha,window_mode,device_count,run_index,run_id,expected_packets,actual_packets,successful_packets,raw_send_packets,simultaneous_collision_count,overall_per_percent,ttu_cycle,max_convergence_cycle,mingap_convergence_cycle,aux_mean_convergence_cycle,max_converged,mingap_converged,aux_mean_converged,final_10_cycle_new_mean_abs_dev,final_10_cycle_new_max_abs_dev,final_10_cycle_min_gap_median,epsilon_tolerance_rad,minimum_collision_free_gap_rad,carrier_sense_duration_ms,airtime_ms,occupied_time_ms,backoff_retry_total,retry_exhausted_abandon_total,csma_w0_ms,csma_w_max_ms,csma_max_retries
CSMA_CA,0,0,fixed_anchor,5,0,csma_ca_0000,900,720,720,720,0,20.0,,1.0,1,1.0,True,True,True,0.7439291403700633,1.1561060965210437,0.3970973114137495,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,180,0.0,0.0,0
CSMA_CA,0,0,fixed_anchor,5,1,csma_ca_0001,900,720,720,720,0,20.0,,,1,1.0,False,True,True,0.9229999216246814,1.6813803882012586,0.038955748904513365,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,180,0.0,0.0,0
CSMA_CA,0,0,fixed_anchor,5,2,csma_ca_0002,900,720,720,720,0,20.0,,,1,,False,True,False,1.3376901518985336,3.3036988345150258,0.10304423903774484,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,180,0.0,0.0,0
CSMA_CA,0,0,fixed_anchor,5,3,csma_ca_0003,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,1.045019380290109,2.612548450725272,0.0791681348704627,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0
CSMA_CA,0,0,fixed_anchor,5,4,csma_ca_0004,900,900,900,900,0,0.0,10.0,1.0,1,1.0,True,True,True,0.5378406622945724,1.1900352971798136,0.7527255998001143,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0
CSMA_CA,0,0,fixed_anchor,5,5,csma_ca_0005,900,900,900,900,0,0.0,10.0,1.0,1,1.0,True,True,True,0.46244243860841766,0.6936636579126262,0.5629734035232912,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0
CSMA_CA,0,0,fixed_anchor,5,6,csma_ca_0006,900,720,720,720,0,20.0,,,1,,False,True,False,1.3056459068319184,2.2041414057585995,0.1269203432050272,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,180,0.0,0.0,0
CSMA_CA,0,0,fixed_anchor,5,7,csma_ca_0007,900,900,900,900,0,0.0,10.0,,1,1.0,False,True,True,0.831893734670577,2.0797343366764425,0.5441238476017523,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0
CSMA_CA,0,0,fixed_anchor,5,8,csma_ca_0008,900,900,900,900,0,0.0,10.0,,1,,False,True,False,1.2938335184544205,2.932990901391431,0.05654866776461631,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0
CSMA_CA,0,0,fixed_anchor,5,9,csma_ca_0009,900,900,900,900,0,0.0,10.0,1.0,1,1.0,True,True,True,0.49159641843373086,0.8230972752405252,0.433539786195392,1.224537524338598,0.03209953709731907,5,20.544,25.544,0,0,0.0,0.0,0
