time,oscillator_id,send_count,transmission_end_time,transmission_time_ms
1436.0,4,1,1456.544,20.544
2835.0,2,1,2855.544,20.544
4394.0,1,1,4414.544,20.544
6003.0,0,1,6023.544,20.544
6965.5808,3,1,6986.1248,20.544
7871.9716,4,2,7892.5156,20.544
8834.497127999999,2,2,8855.041127999999,20.544
9891.7287896,1,2,9912.2727896,20.544
11114.49095272,0,2,11135.03495272,20.544
12259.198706904,3,2,12279.742706904,20.544
13332.4113748328,4,3,13352.9553748328,20.544
14372.417900782959,2,3,14392.961900782959,20.544
15417.59196742807,1,3,15438.13596742807,20.544
16516.04246301565,0,3,16536.58646301565,20.544
17628.370136182155,3,3,17648.914136182157,20.544
18728.96330777735,4,4,18749.507307777352,20.544
19811.380485679034,2,4,19831.924485679036,20.544
20882.624730203745,1,4,20903.168730203746,20.544
21962.03085004732,0,4,21982.57485004732,20.544
23051.313435887772,3,4,23071.857435887774,20.544
24143.989197454648,4,5,24164.53319745465,20.544
25233.587383921968,2,5,25254.13138392197,20.544
26317.6793878065,1,5,26338.2233878065,20.544
27400.365626478746,0,5,27420.909626478748,20.544
28485.030769301455,3,5,28505.574769301456,20.544
29572.099097747414,4,6,29592.643097747416,20.544
30659.92638359978,2,6,30680.470383599783,20.544
31746.633084861798,1,6,31767.1770848618,20.544
32832.133647346884,0,6,32852.677647346885,20.544
33917.38358393325,3,6,33937.927583933255,20.544
35003.179038077506,4,7,35023.72303807751,20.544
36089.58404173419,2,7,36110.12804173419,20.544
37176.07955467248,1,7,37196.62355467248,20.544
38262.2765824748,0,7,38282.8205824748,20.544
39348.189482912334,3,7,39368.733482912336,20.544
40434.06714946189,4,8,40454.61114946189,20.544
41520.10301714358,2,8,41540.64701714358,20.544
42606.27677840225,1,8,42626.82077840225,20.544
43692.45751962402,0,8,43713.00151962402,20.544
44778.55790861051,3,8,44799.101908610515,20.544
45864.59148086593,4,9,45885.13548086593,20.544
46950.62574174922,2,9,46971.169741749225,20.544
48036.70185274513,1,9,48057.24585274513,20.544
49122.8093528088,0,9,49143.3533528088,20.544
50208.91471954931,3,9,50229.458719549315,20.544
51294.9985479443,4,10,51315.5425479443,20.544
52381.067506085776,2,10,52401.61150608578,20.544
53467.13861008358,1,10,53487.68261008358,20.544
54553.220632901146,0,10,54573.76463290115,20.544
55639.309658895596,3,10,55659.8536588956,20.544
56725.39712561021,4,11,56745.94112561021,20.544
57811.47903975288,2,11,57832.02303975288,20.544
58897.55771085209,1,11,58918.10171085209,20.544
59983.637387466806,0,11,60004.18138746681,20.544
61069.719868895445,3,11,61090.26386889545,20.544
62155.803845909875,4,12,62176.34784590988,20.544
63241.887204062776,2,12,63262.43120406278,20.544
64327.96915609957,1,12,64348.51315609957,20.544
65414.05042550974,0,12,65434.59442550974,20.544
66500.13205852546,3,12,66520.67605852545,20.544
67586.21439474077,4,13,67606.75839474077,20.544
68672.29703753737,2,13,68692.84103753736,20.544
